"","(Intercept)","boatlaunch","depth_max_m","dist_waterfowl","latitude","longitude","nearest_W","nonFP_species_richness","PH_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"4028",-1.6007011368506,1.15712446835114,-5.15802888695437,NA,-2.1436920443917,-0.13856097681046,1.645275662164,NA,2.25413548116385,-1.7676154120831,2.36219176350794,3.36666552058155,-1.79543547442345,NA,11,-55.9818834496828,135.573522996927,7.71725083729628,0.000188669456042375
"7267",-2.5072227612767,NA,-2.53122825920904,NA,NA,NA,0.741715419876409,0.349297504805422,NA,NA,NA,3.82793202144456,-1.3561569155337,0.159522550567981,7,-60.4534530642207,135.573572795108,7.7173006354776,0.000188664758402968
"3316",-2.7927731291255,1.24613893153775,-3.58094843081344,NA,NA,-0.425872916413954,1.21504687161936,-0.0181066535087369,1.71450504072074,NA,NA,3.48950695401323,-1.32411800545007,NA,9,-58.2448852660488,135.574107881495,7.71783572186472,0.000188614289182642
"3256",-2.81241683456553,1.24418956502272,-3.58757093287594,0.0148161918687724,NA,-0.426586733366844,1.21240665753332,NA,1.71522138938169,NA,NA,3.49630080271041,-1.3217569163536,NA,9,-58.2448959169569,135.574129183311,7.71785702368108,0.000188612280279865
"3264",-2.19318869270157,1.5109207056458,-3.98319549208346,0.0670878295249272,-1.57029968122793,-0.193568537763321,1.49690802982644,NA,2.30162296942648,NA,NA,3.26269837403244,-1.73334876957967,NA,10,-57.1208911483268,135.575115629987,7.71884347035659,0.000188519275239457
"2715",0.774616510567198,NA,-4.85829942480038,NA,-1.7620146524588,-0.494700209304664,NA,NA,1.82470362904424,NA,1.99204833896346,NA,-2.1667745937916,NA,7,-60.4549210203014,135.576508707269,7.72023654763909,0.000188388010000595
"1623",-2.49240952826951,NA,-3.63403433662999,-0.109695526794022,NA,-0.443133736096265,NA,-0.031951669632516,NA,NA,1.72359234865059,3.85986182978612,NA,NA,7,-60.4558006036442,135.578267873955,7.72199571432473,0.000188222379898429
"4292",-0.89041712215606,1.25596607672041,-4.02186583117685,NA,NA,NA,NA,-0.684783485088193,1.89432902311495,NA,NA,NA,NA,0.0629120371179557,6,-61.5406851866392,135.578411793397,7.7221396337663,0.000188208835955841
"5655",-2.50839134084231,NA,-3.63695843623638,-0.111212608537934,NA,-0.446764987445665,NA,NA,NA,NA,1.71246617461691,3.86998112686481,NA,-0.00195339088500395,7,-60.4560210282608,135.578708723188,7.72243656355788,0.000188180895624755
"3811",-2.89834144765347,NA,-3.66995095412265,NA,NA,NA,0.939983972394875,-0.283514078109274,1.26742915628165,NA,1.61548409801726,3.78932339456424,-1.40839843842512,NA,8,-59.3586918321219,135.579659113346,7.72338695371518,0.000188091494232491
