"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","latitude","longitude","nearest_LM","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"5348",-2.52915478651256,-0.180843725650267,3.00714212958586,NA,NA,NA,0.476277697133368,0.626501400323392,-2.86403090083299,NA,NA,3.05667570274437,NA,-1.46377441185973,8,-87.325112473333,191.522952219393,15.272963337914,9.78320849235261e-06
"6115",-3.08498270831138,NA,2.72269981030427,NA,NA,NA,0.631308255391947,1.08539516323693,-2.3544916142516,1.42712913488939,-1.32142210750191,3.24050468941812,NA,-1.4152511553162,9,-86.2135624815803,191.52468593877,15.274697057291,9.77473149799944e-06
"3933",-4.97364036499906,NA,NA,1.28389326302981,-1.54883942382882,1.06851283345335,NA,2.40400648446603,NA,1.48669467583518,-1.96605268543856,4.96302119580474,0.539050412301673,NA,9,-86.213574986094,191.524710947798,15.2747220663184,9.77460927050007e-06
"3482",-1.7011934958187,-0.131049266114416,NA,NA,-1.84381882126084,1.27824673312587,NA,NA,-3.04408230680294,0.315760444714828,NA,4.15509264077386,0.826539720697834,NA,8,-87.3261962732773,191.525119819282,15.2751309378025,9.77261119524644e-06
"7219",-5.01989788716346,NA,2.79552771686291,NA,NA,0.961477231930685,0.165070035957794,NA,NA,NA,NA,4.47582798744585,1.38277685040288,-1.72684719514799,7,-88.4255965965719,191.525891988324,15.2759031068451,9.76883886959644e-06
"7725",-3.11048659057146,NA,NA,1.11359397985936,-2.23449104696983,NA,0.62229894309138,NA,NA,NA,-0.998211555942883,5.64955156363782,1.77447449514621,-1.71464956180998,8,-87.3267769117848,191.526281096297,15.2762922148176,9.76693848792276e-06
"1081",-3.18048069607047,NA,NA,NA,-2.36179787514853,1.34180153279834,0.945138430891773,NA,NA,NA,NA,5.21983216170385,NA,NA,5,-90.5856294306957,191.528401718534,15.278412837055,9.75658798279571e-06
"1961",-0.910697653581484,NA,NA,NA,-2.42682515998111,NA,1.16892028210126,NA,-2.67713033536247,0.847190396577773,-0.900356735124162,4.26890834226931,NA,NA,7,-88.4290876469086,191.532874088998,15.2828852075186,9.73479482069081e-06
"1357",-4.28476491024818,NA,NA,1.05898291866758,-2.43404718660707,NA,NA,2.67857896855268,NA,0.282995246383796,NA,5.47067872112365,NA,NA,6,-89.5152258446628,191.533445701302,15.2834568198223,9.73201295400057e-06
"976",-1.05031823929684,0.176692810633947,3.25797223033377,1.27610217348234,-2.00612262453059,NA,NA,1.0090843987308,-3.59042959670182,0.497753860031379,-0.928841203516102,NA,NA,NA,9,-86.2180483474973,191.533657670604,15.283668789125,9.73098156465706e-06
"8062",-5.62265373485448,-0.139283883937712,NA,1.48799023077671,-2.19435317298984,0.96394804791935,1.51662191812368,3.05188273845359,NA,1.55677328950607,-1.8211713201269,5.16052258644061,1.1922616065437,-1.74665918935347,12,-82.7994947098938,191.536877618545,15.2868887370659,9.71532754229663e-06
"1369",-3.80660780503365,NA,NA,NA,-2.26295567610232,0.921517833038648,NA,2.15124790417982,NA,0.263281890033274,NA,5.13553675924281,NA,NA,6,-89.5207513029582,191.544496617893,15.2945077364132,9.67838741157689e-06
