"","(Intercept)","boatlaunch","depth_max_m","dist_waterfowl","latitude","longitude","nonFP_species_richness","PH_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"2067",2.28369273214528,NA,-3.15105808557861,NA,NA,-2.24353119968988,NA,NA,NA,NA,NA,NA,0.030907750506015,4,-104.342830518871,216.919579166397,25.0563355151573,6.63643082079371e-08
"20",2.29752029242076,0.0102523426107521,-3.15435530312619,NA,NA,-2.24659053391335,NA,NA,NA,NA,NA,NA,NA,4,-104.343834050738,216.92158623013,25.0583425788909,6.62977429156166e-08
"3279",-0.48641789212621,NA,-3.68892609106034,0.754568185544323,-1.8682779910383,NA,NA,4.47161863860146,0.535547300538866,NA,NA,0.0116648767179876,-0.140410769127073,8,-100.039599555281,216.941474559664,25.0782309084244,6.56417343707784e-08
"2075",2.74358028002149,NA,-3.20028080955373,NA,-1.01523612452497,-2.02099541765888,NA,NA,NA,NA,NA,NA,-0.0286283094471337,5,-103.299074981172,216.951091138815,25.0878474875759,6.53268674958624e-08
"283",2.73256616482017,NA,-3.20634148414475,NA,-1.013657634622,-2.02026564317897,NA,NA,NA,0.00221056370969587,NA,NA,NA,5,-103.300140018639,216.953221213748,25.0899775625089,6.52573289715472e-08
"1524",-0.0129790060081001,0.457700502193562,-2.78877112819794,NA,NA,-1.64068507784008,-0.295576135508819,3.76041255122649,1.35179845741038,-1.59557586128762,NA,0.159165341703462,NA,9,-98.9385759519695,216.961489253337,25.0982456020973,6.49881107420236e-08
"3443",0.193460541807512,NA,-2.77794185339244,NA,NA,-1.66979789815414,0.047659082752248,3.46949120665325,NA,-0.744246443679496,NA,0.266410655049653,-0.0626209999657684,8,-100.055258638469,216.972792726039,25.1095490747996,6.46218510506823e-08
"2548",0.0754867527349977,0.449619600227925,-2.76836367376402,NA,NA,-1.64512863459563,-0.301211848138206,3.77359494016663,1.38603811795182,-1.58716017720696,NA,NA,-0.0768377386947399,9,-98.947013263001,216.9783638754,25.1151202241602,6.44420925402123e-08
"3540",-0.139112439623649,0.444232027160132,-2.80250950992593,NA,NA,-1.67073640641121,NA,3.8242892177573,1.31629686782219,-1.68482501371593,NA,0.19839856417477,-0.10784295273122,9,-98.9567185759481,216.997774501294,25.1345308500544,6.38196870705937e-08
"2147",-0.346817104254633,NA,-3.10082157139428,NA,NA,NA,-0.791587352388143,3.9819501643938,NA,NA,NA,NA,0.0397563923992442,5,-103.32312581483,216.99919280613,25.1359491548911,6.37744452287459e-08
"3276",-0.0460674600218403,0.345070699510325,-3.917661154928,NA,-1.87482400267806,NA,NA,4.6422791772131,0.403018310179959,NA,NA,0.0457529070230025,-0.191201208863857,8,-100.071083452232,217.004442353565,25.1411987023258,6.36072712340012e-08
"3404",-0.0441340246786547,0.451187906696556,-3.53045245856351,NA,-1.75543413263106,NA,NA,4.66838126922361,NA,-0.4443436859035,NA,0.153177907956322,-0.167360702738845,8,-100.071364385517,217.005004220135,25.141760568896,6.35894043441569e-08
"2412",0.096956251370908,0.452072902221834,-3.51855166992567,NA,-1.76577153741606,NA,-0.134013973333118,4.64213143190165,NA,-0.37557526299835,NA,NA,-0.142800032950339,8,-100.078814928495,217.019905306091,25.1566616548514,6.31173893217532e-08
"2556",0.536218461134628,0.524113869573039,-3.36264310045705,NA,-1.23667869729455,-1.43207031257875,-0.0689035200790368,4.03863823101973,0.937928868418615,-0.950534513360733,NA,NA,-0.168250656165335,10,-97.8480785678042,217.029490468942,25.1662468177024,6.28156178039631e-08
"3548",0.501781258665901,0.521303997512223,-3.37190783869852,NA,-1.24137388157128,-1.43674674445872,NA,4.052902248948,0.925233118913961,-0.968284727428511,NA,0.0111736022665338,-0.171643326248401,10,-97.8496748265141,217.032682986361,25.1694393351221,6.27154278127749e-08
