"","(Intercept)","boatlaunch","log(COND_avg)","log(dist_waterfowl + 1)","log(nearest_LM)","log(nonFP_species_richness + 1)","log(PH_avg)","log(secchi_avg)","log(shoreline_development)","log(surfacearea_ha)","log(TOTP_avg)","log(waterbodies_10km)","log(waterbodies_1km + 1)","df","logLik","AICc","delta","weight"
"3912",-8.3962450116903,-0.208819796570277,1.15479660897692,0.550957391252277,NA,NA,NA,-0.746857618842651,NA,-0.00276743663683113,0.54675807011326,0.918566259648932,-1.07339869616473,9,-83.7000912114283,186.497743398466,4.48738726123989,0.00377093628098469
"2599",-6.30531426028546,NA,1.24277091932976,0.588625754042407,NA,NA,0.548683665029284,NA,NA,NA,0.666663551393307,NA,-0.987331384787825,6,-87.006726960814,186.516447933604,4.50609179637755,0.00373583387529708
"3943",-9.37522223695139,NA,1.10373300568601,0.541805694820825,NA,NA,0.661657520988391,-0.75578829175412,NA,-0.0240114062807685,0.544839595111728,0.916420453235963,-1.05694835960624,9,-83.7254416286697,186.548444232949,4.53808809572266,0.00367654298266996
"3703",-9.58929638017221,NA,1.13339528586043,0.540741693083384,NA,0.0704473687386912,0.634255551197426,-0.826721823677595,NA,NA,0.556969869105728,0.913710185278021,-1.07330105211088,9,-83.7259915612745,186.549544098159,4.53918796093217,0.00367452168764996
"3927",-8.78094365345604,NA,1.19075732295425,0.538692839315142,NA,0.106457111803057,NA,-0.791483328475353,NA,-0.0343878684977487,0.553375862677758,0.92836178099545,-1.06464331594728,9,-83.7306926602195,186.558946296049,4.54859015882224,0.00365728793814075
"2575",-5.62578103984939,NA,1.30368208050242,0.591924652965394,0.024160904584879,NA,NA,NA,NA,NA,0.664762209183505,NA,-0.980141033954629,6,-87.0294732776455,186.561940567267,4.55158443004049,0.00365181657884111
"3719",-8.48911448548168,NA,1.24356468077518,0.578767182990595,NA,NA,NA,NA,0.399676979513391,NA,0.734889882109814,0.839135068634106,-1.11572256367049,7,-85.979615711338,186.633930217857,4.62357408063016,0.0035227076452861
"2127",-7.93743351946023,NA,1.43323262831991,0.53685685510179,0.086126760491519,NA,NA,-1.10530872914682,NA,NA,NA,NA,-0.901757945857638,6,-87.0899432429849,186.682880497946,4.67252436071925,0.00343753543492095
"2247",-7.68804197845918,NA,1.38398036073139,0.541402510906889,NA,NA,NA,-1.10776144662649,0.328003832795496,NA,NA,NA,-0.950344033916072,6,-87.1318675037532,186.766729019482,4.75637288225593,0.0032963985054283
"2120",-7.43495930274532,-0.194148795277191,1.36663079975384,0.535694580576605,NA,NA,NA,-1.04610180199187,NA,NA,NA,NA,-0.936088054626716,6,-87.1447250944542,186.792444200884,4.78208806365791,0.00325428607501403
"3623",-9.26559824550211,NA,1.1979752358855,0.566442426323275,NA,NA,0.513944986803671,NA,NA,NA,0.713869503495652,0.88185969004464,-1.10440977549793,7,-86.0680214528441,186.810741700869,4.80038556364238,0.00322464920219647
"2375",-7.42034021218257,NA,1.3673665703729,0.532927081980569,NA,NA,NA,-1.02447116134407,NA,-0.0376294187414099,NA,NA,-0.915235798212216,6,-87.1588689703132,186.820731952602,4.81037581537589,0.00320858183622149
"3975",-8.33480127425285,NA,1.18126672915052,0.577351723030858,NA,NA,NA,NA,0.991603574291352,-0.16713549964778,0.690583150878408,0.845678212901113,-1.07339853923347,8,-84.9814624950877,186.835652262903,4.82529612567612,0.00318473438136826
"3599",-8.65204658750703,NA,1.25664170562965,0.56983080436339,0.0261223133029388,NA,NA,NA,NA,NA,0.712920229305394,0.884515653359203,-1.09691355380615,7,-86.084835968919,186.844370733019,4.83401459579213,0.00317088159132354
"2135",-7.2872788580447,NA,1.3567169286242,0.538583453694321,NA,-0.0640033854881195,NA,-1.04343073126416,NA,NA,NA,NA,-0.925550428265858,6,-87.1982987334813,186.899591478939,4.88923534171212,0.00308452995408339
"2151",-8.08041167093485,NA,1.34403275894014,0.531445281658334,NA,NA,0.393358918013397,-1.08552664999978,NA,NA,NA,NA,-0.93040399543909,6,-87.2007016909119,186.9043973938,4.89404125657322,0.00307712685813494
"3779",-7.0087341621881,NA,1.00199707131086,NA,NA,NA,NA,-0.834255744466889,0.390309666984384,NA,0.545541870016181,0.981793215065235,-0.903394165780307,7,-86.2245464134357,187.123791622052,5.11343548482549,0.00275743033838234
"1607",-7.01435433057928,NA,1.04435703631097,0.427439794640352,NA,NA,NA,-0.819712719613833,NA,NA,0.524625547940189,0.574897096657041,NA,6,-87.3170954307835,187.137184873543,5.12682873631641,0.00273902654980534
"3659",-7.43753013218795,NA,1.05279695145595,NA,0.0730661860923259,NA,NA,-0.842664288716428,NA,NA,0.525488001727534,1.02161505970972,-0.864879472231344,7,-86.2475351856461,187.169769166473,5.15941302924631,0.00269476347738677
"2711",-4.65773001563228,NA,1.17006311773721,0.624429825430673,NA,-0.338915415254163,NA,NA,0.848537523454849,NA,0.642876475391014,NA,-0.992752086249969,7,-86.2557975849383,187.186293965057,5.17593782783081,0.00267258999476539
"3683",-8.26346753247863,NA,0.932503211315899,NA,NA,NA,0.853251213283984,-0.824580603074651,NA,NA,0.529195615820001,1.00944403953826,-0.892873373586595,7,-86.2586586291264,187.192016053433,5.18165991620688,0.00266495452461101
"2755",-3.65508031832659,NA,1.05391332109383,NA,NA,NA,NA,-0.819398509140077,0.531841637343572,NA,0.491424295593035,NA,-0.796003845408095,6,-87.3511701258768,187.20533426373,5.19497812650303,0.0026472672682266
"3667",-7.45838917642789,NA,1.04411215292017,NA,NA,0.125931623644332,NA,-0.883975590207304,NA,NA,0.541856611119432,1.01712383380873,-0.906380038892022,7,-86.2691614534862,187.213021702153,5.20266556492663,0.00263711144673569
"3652",-6.93856277174948,-0.167764957890126,0.988276886389068,NA,NA,NA,NA,-0.792826785667789,NA,NA,0.527492996666813,1.01482815285354,-0.893779726138172,7,-86.285277985062,187.245254765305,5.23489862807821,0.00259495100941299
"3907",-7.00846420862837,NA,0.994398578417774,NA,NA,NA,NA,-0.780018158782925,NA,-0.0293005148662996,0.524059029130091,1.0249774951888,-0.880746483440972,7,-86.3048322473958,187.284363289972,5.27400715274567,0.00254470155329864
"2696",-5.59848505535069,-0.496815064160379,1.26672650260003,0.616823123260581,NA,NA,NA,NA,0.715256088159827,NA,0.685891349348857,NA,-1.03393775975957,7,-86.3167211725888,187.308141140358,5.29778500313171,0.00251462691867815
