"","(Intercept)","boatlaunch","log(COND_avg)","log(dist_waterfowl + 1)","log(latitude)","log(longitude)","log(nearest_W)","log(nonFP_species_richness + 1)","log(PH_avg)","log(secchi_avg)","log(shoreline_development)","log(surfacearea_ha)","log(TOTP_avg)","log(waterbodies_10km)","log(waterbodies_1km + 1)","df","logLik","AICc","delta","weight"
"9522",-137.500422537703,0.896470311389169,NA,NA,NA,31.8139232181353,-0.100160712282429,NA,NA,-1.1921076548935,NA,-0.0431177430208784,NA,NA,-0.37496344312894,7,-62.1849065430861,139.044511881353,14.1372532346754,4.43333303531301e-06
"2973",78.3503090774437,NA,NA,0.110993809321038,-20.219225060215,-1.52077072274508,NA,NA,1.82145989404395,-0.620311549745856,-0.672535108647176,NA,0.490186293213571,NA,NA,8,-61.0859449999632,139.044617272654,14.137358625976,4.43309942410087e-06
"2989",69.5099559041706,NA,NA,0.112487521141481,-19.5875048057342,NA,-0.000680278662559465,NA,1.79952471586475,-0.620930222252517,-0.67000485142705,NA,0.488200909996038,NA,NA,8,-61.0865423165692,139.045811905866,14.138553259188,4.43045225087775e-06
"498",-100.031388187115,0.913632062850325,NA,NA,NA,22.2380285652434,-0.0863509165465063,-0.146063250559551,1.88677671329444,-1.17285937978382,NA,NA,NA,NA,NA,7,-62.1862011495247,139.04710109423,14.1398424475525,4.42759732736463e-06
"16248",34.2761763329763,0.948031415944346,1.4442763010071,0.27705250111126,NA,-9.17493550784091,-0.0278968139598184,0.348084363896188,NA,-1.01783121406075,-1.08002679974941,0.0473155491910165,0.362335411146805,-0.833110879034881,-0.563923915386073,13,-55.3867992281179,139.048598456236,14.1413398095581,4.42428370993343e-06
"1489",-96.2870933889167,NA,NA,NA,NA,21.3630668840069,NA,-0.00246172084997157,1.71632168323832,-1.04753106866797,NA,-0.00296468034549268,NA,NA,NA,6,-63.2733455652652,139.049685142506,14.1424264958288,4.42188045870496e-06
"5017",-1.18427638704949,NA,NA,NA,-26.711871408515,23.1138539261163,NA,NA,2.10588185077078,-0.943329187735685,-0.875029700318058,NA,NA,-0.87369276045964,NA,7,-62.1875285493422,139.049755893865,14.1424972471876,4.42172403444651e-06
"15855",89.9032559530977,NA,1.45148046272133,0.255206277025948,-25.125036333191,NA,0.0431476427869165,0.419296052961377,-0.797982532325707,-0.935046971863709,NA,0.0839219740652367,0.429165331198212,-0.895950074941326,-0.641377461097576,12,-56.5562311699625,139.050350538683,14.1430918920053,4.42040955222749e-06
"11053",52.7106307154242,NA,NA,0.141154353488609,-14.1208481355572,NA,-0.00792610248706053,NA,NA,-0.631180999621438,-0.52378170406017,NA,0.505153674107948,NA,-0.360265033435048,8,-61.0891251300503,139.050977532828,14.1437188861504,4.41902398397046e-06
"8553",58.2008694167955,NA,NA,NA,-15.9099010494526,NA,-0.0783661675552774,0.0109415681800043,NA,-1.06106064002444,NA,NA,NA,NA,-0.393433810834548,6,-63.2743905828146,139.051775177605,14.1445165309277,4.41726192966633e-06
