"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","latitude","longitude","nearest_SP","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"1610",-0.818423950760627,-0.028355925886791,NA,NA,-0.366736995031281,NA,NA,-0.138670461522958,NA,NA,-0.605931721991182,0.612527941944487,NA,NA,NA,6,-80.784049120787,174.07109225355,15.1874690582131,3.11332390994147e-06
"11984",-4.73130870989993,0.0336999288342791,2.74119221615391,0.763952517588609,-0.263179460157687,NA,NA,0.0564979640279787,0.681574162539022,NA,-0.597966703042906,0.921524396328771,2.12589296287365,NA,-0.859254411388075,11,-75.2209874845778,174.071604598785,15.1879814034484,3.11252646375225e-06
"3758",-3.87415398677449,0.0692996484024281,NA,0.37508266028524,-0.296865446228015,NA,-0.378023788075679,NA,1.97812535341118,NA,-0.399085870369016,0.504554804349605,2.83519878556433,NA,NA,9,-77.4870833221049,174.07172761982,15.1881044244827,3.11233501652782e-06
"13237",-1.79526438227039,NA,NA,0.47738745461413,NA,0.778074202017656,-0.250941925690675,NA,1.84790994120006,-2.01663148482358,-0.0918228784982469,NA,NA,-0.386401229895182,-0.471010302791509,9,-77.4871476766492,174.071856328908,15.1882331335714,3.1121347300708e-06
"16359",-3.65035985246696,NA,2.89618005594572,0.731966274189918,NA,NA,-0.315047601897696,0.146072095407769,0.546204459250803,-2.41306054549317,-0.884396571561313,1.39137691329687,1.46933142688183,-0.270297432827638,-0.840711654089893,12,-74.0671811568777,174.072250512513,15.1886273171763,3.11152141426909e-06
"10742",-3.30017673117515,0.239682866550542,NA,0.443519601512018,NA,0.674561318214985,-0.490624500524168,0.111151806571766,1.85486895851134,-1.90352743277159,NA,NA,2.02812972554264,NA,-0.590593457758209,10,-76.3613963265252,174.072485904584,15.1888627092473,3.1111552220844e-06
"12102",-2.09140251923431,0.0205807966359335,NA,0.495270571742533,NA,NA,NA,-0.00277250676026083,NA,-2.07272531001737,-0.553109135609595,1.16681251793237,2.31580536973535,NA,-0.528325363967646,9,-77.4878494626932,174.073259900996,15.1896367056593,3.10995144353992e-06
"7029",-2.38053109819644,NA,NA,0.392035674177581,NA,0.923288928035276,-0.605688921550803,0.117339072564292,NA,-1.77549073581321,-0.165517416381708,NA,2.02954833561005,-0.266815315833412,NA,9,-77.4884167795283,174.074394534666,15.1907713393294,3.10818761610155e-06
"16087",-4.80826664397499,NA,2.74450804753634,0.868580136957589,NA,0.20854332931946,NA,0.0508225995369114,0.570888466786944,NA,-0.504809367855072,0.890645350175586,2.04811738371316,-0.274078221549239,-0.809314233247041,11,-75.222905424064,174.075440477758,15.1918172824208,3.10656254738904e-06
"15074",-3.58273265489717,0.165258880053202,NA,NA,NA,NA,-0.530448257690344,0.0200984026410877,2.05598351703078,NA,-0.0991560964887576,NA,2.73908592644657,0.0546923159329326,-0.530222175564325,9,-77.4891757617657,174.075912499141,15.1922893038043,3.10582945192594e-06
"16274",-2.72982649010679,0.142665170922498,NA,NA,NA,0.647838073487736,NA,NA,1.65140836892182,-2.07251869378606,-0.513919138617492,1.00305826713146,1.81742508835893,-0.148530087937433,-0.491041454927753,10,-76.3639452233242,174.077583698182,15.1939605028453,3.10323530630943e-06
"12261",-2.83939577982899,NA,NA,0.419784797817447,NA,NA,-0.562977053434851,0.0639619206896725,1.84742952063599,-2.09949950278815,-0.571297081168422,0.956589770343607,2.22989904589556,NA,-0.606886796978468,10,-76.3643378518226,174.078368955179,15.194745759842,3.10201712685277e-06
"11738",-3.10144270585369,0.115747905669708,NA,NA,-0.248024199703859,0.583748585723692,NA,0.0641509650944412,1.80523653571636,-2.1347246232271,NA,0.707824757021094,2.02471656596911,NA,-0.571774145780744,10,-76.3647297671158,174.079152785765,15.1955295904286,3.10080163710078e-06
"6842",-3.59976379625144,0.213616710776776,NA,NA,-0.0913073976705498,0.514429981015947,-0.4266396387401,NA,1.84405016646224,NA,-0.0874457719526317,NA,2.49498874964419,-0.2453822871618,NA,9,-77.491031923147,174.079624821904,15.196001626567,3.10006987824296e-06
"2878",-2.51230135192818,0.302776599764903,NA,0.538030703370441,0.344281559177757,0.913868512818373,-0.624416737484553,NA,NA,-1.56298764673001,0.0205243595332576,NA,1.97407773678367,NA,NA,9,-77.4917315724349,174.081024120479,15.1974009251426,3.09790167513977e-06
"5050",-1.49094543901218,0.381116610578263,NA,NA,-0.0676468799844323,0.78721386073384,-0.291136911890242,NA,1.88031780453512,-2.28861376514326,-0.303848253733919,NA,NA,-0.500225317104359,NA,9,-77.491809918431,174.081180812472,15.1975576171349,3.09765897645448e-06
"15046",-4.08730661233201,0.154728892658062,NA,0.540372900467572,NA,NA,NA,-0.00386510070044557,2.16356892828281,NA,-0.0484815617934138,NA,2.69760001413646,0.0441892440256904,-0.548647364460658,9,-77.4918390349639,174.081239045538,15.1976158502007,3.09756878467797e-06
"3821",-3.83645672475275,NA,NA,0.393203368011304,-0.291173057141118,NA,-0.362980786975395,-0.0120836318263338,1.93717780281747,NA,-0.400401930994035,0.596839287656693,2.80746374352461,NA,NA,9,-77.4918892175887,174.081339410787,15.1977162154502,3.09741334444625e-06
"12205",-2.63190335348052,NA,NA,0.413460769695338,-0.320584933371173,NA,-0.386173890819128,NA,1.81748795170393,-1.91547222238614,-0.571628781740434,1.1752502190763,2.14091020255131,NA,-0.603448540088013,10,-76.3673483246452,174.084389900824,15.2007667054873,3.09269263120963e-06
"13292",-2.45551351104178,0.294387158269035,2.73020718178252,NA,-0.319379062187574,NA,-0.101898001071995,0.19067632922903,1.11302073546497,-2.46123792985312,-0.617943882146955,NA,NA,-0.336459331868341,-0.639898409826665,11,-75.2278882421571,174.085406113944,15.201782918607,3.09112161295221e-06
"4605",-2.04633817450512,NA,NA,0.358790416691943,0.0516993853679832,0.9309676380561,-0.368748910524035,0.0930790997282851,1.85753096896462,-2.49760352329173,NA,NA,NA,-0.572559338297498,NA,9,-77.4940547497873,174.085670475184,15.2020472798475,3.09071305358258e-06
"8781",-0.962308986209388,NA,NA,0.31794993762547,-0.200860411845835,NA,NA,-0.107545755803641,NA,NA,-0.224224431053281,NA,NA,NA,-0.369558762343947,6,-80.791541069261,174.086076150498,15.2024529551612,3.0900862041653e-06
"15833",-3.03032819327419,NA,NA,NA,-0.26639909878421,0.610318629548124,NA,0.0701494461255952,1.80326478507407,-2.1349397169833,NA,0.786003762211992,1.99932193230411,-0.199709322921802,-0.548173204796841,10,-76.3691074164054,174.087908084345,15.2042848890077,3.08725708330068e-06
"7246",-3.02780721626634,0.0266668838662703,NA,0.458952105797452,-0.251576271465276,NA,NA,-0.0817958846631621,NA,NA,NA,0.711146020125909,2.93717562126665,-0.0293640471664273,NA,8,-78.6078937593338,174.088514791395,15.204891596058,3.08632069501692e-06
"6877",-4.21509764109847,NA,NA,0.511439219009731,-0.126729769330581,0.571572633965467,NA,0.027059464673602,1.95076211863813,NA,-0.0969078581311468,NA,2.5155851542011,-0.253681356390887,NA,9,-77.4959973024822,174.089555580574,15.2059323852373,3.08471500825692e-06
"14953",-2.50975145661339,NA,NA,NA,-0.0476835451810576,NA,-0.66526600162657,0.0123851933205335,NA,NA,-0.00450692953026726,NA,2.87876255496838,0.166902348209678,-0.468326713387323,8,-78.609148292617,174.091023857961,15.2074006626245,3.0824512306757e-06
"2810",-3.84517124686348,0.168929563733162,NA,NA,-0.0944078986551633,0.506021744116948,-0.437355989741977,0.0314574272921282,1.8554845862183,NA,-0.176534455684718,NA,2.5982369357967,NA,NA,9,-77.4967465685261,174.091054112662,15.2074309173251,3.08240460170881e-06
"12159",-3.5530446710991,NA,2.92067444196107,0.689036994031718,-0.175349434410175,0.249945594343712,-0.272583735726298,0.150493037751817,NA,-2.45454538758812,-0.984566859493585,1.51116146061187,1.46332989621788,NA,-0.85762401176924,12,-74.0766331522635,174.091154503285,15.2075313079478,3.08224988333315e-06
