"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"492",0.0666621751926366,0.241460313713313,0.00367410079265933,NA,-0.00280554587948438,NA,-0.484797481681141,-0.154608728881659,-0.000622364503727031,0.01033444316764,NA,NA,8,-176.584367253129,370.041461778985,9.77231277237877,0.00022833849793557
"1856",-0.730932687687135,0.244479772869994,0.00370846012262702,0.0142695242691527,-0.00158272567049481,0.10195737340594,-0.499723146994499,NA,NA,0.102374945900776,-0.00206422399530076,-0.158264424190269,10,-174.356204104284,370.062101460102,9.79295245349579,0.00022599419824845
"1976",-0.762063397692191,0.242465546720258,0.00370699812722983,0.0141918840828732,NA,0.105733195646401,-0.501816238213114,NA,-0.000339123643279885,0.108248082214869,-0.00208410123901983,-0.157358287696517,10,-174.356293484037,370.062280219607,9.79313121300083,0.000225973999845617
"1728",-0.705371032816404,0.253296686152505,0.00372027255059875,0.0140303385620091,-0.00188782618669651,0.100890571826116,-0.502096142853531,NA,-0.000306326999888996,NA,-0.00205915533630938,-0.1565917799284,10,-174.373927908738,370.09754906901,9.82840006240446,0.000222024008633242
"760",-0.546564192428143,0.279673225793238,0.00364186354112928,0.011590887448797,NA,0.10372239731922,-0.507820040326536,-0.156090321996532,-0.000723543711493538,NA,-0.00344451929655027,NA,9,-175.532330225812,370.162221427234,9.89307242062841,0.000214959436720023
"888",-0.539991537845991,0.262614203425557,0.00365026955661762,0.0118525192942466,NA,0.102282401645208,-0.507053103505083,-0.168851312992912,NA,0.0875553895497422,-0.0034536220888597,NA,9,-175.537851392312,370.173263760234,9.90411475362782,0.000213775880192091
"1472",-0.795399301506416,0.246088841554704,0.00365563741743055,0.0136600515302921,-0.00164799782331145,0.0979108572727929,-0.498532271663913,NA,-0.000307717707599961,0.10199957751656,NA,-0.162637123958803,10,-174.412976640919,370.175646533371,9.90649752676507,0.000213521342136453
"891",-0.5090255347867,NA,0.00361556753103145,NA,0.00497837759559511,0.100415828391633,-0.488199941540312,-0.171302106766795,NA,0.0486990512680673,-0.00179666837322421,NA,8,-176.658425146714,370.189577566156,9.92042855954958,0.000212039223580752
"640",-0.496471998926399,0.274052671214875,0.00365779517295586,0.0117523989907428,-0.00184275053692925,0.0981042049971539,-0.506271286403476,-0.164959817736171,NA,NA,-0.00342298366879954,NA,9,-175.547590693502,370.192742362614,9.9235933560077,0.000211703958420323
"763",-0.493370566534224,NA,0.00362938475369041,NA,0.00486746584526659,0.0992718856370035,-0.490093994002813,-0.172100325045702,-3.98569462121253e-05,NA,-0.00179811475786897,NA,8,-176.663371748152,370.19947076903,9.93032176242434,0.000210992939960084
"940",-0.0473939994354448,0.253093808392555,0.00368735818756839,NA,-0.00511601562613081,NA,-0.48054568690498,NA,-0.00121758805586975,0.0299240345772698,-0.00196042782060508,NA,8,-176.70264425509,370.278015782907,10.0088667763013,0.000202867319346222
"507",-0.564399583631963,NA,0.00358376267375309,NA,0.00476215590795682,0.0966468151904952,-0.488970436094304,-0.178717069821677,-3.03281670056335e-05,0.0490568714981992,NA,NA,8,-176.706564472612,370.285856217952,10.0167072113458,0.000202073592134404
"1011",-0.457084938672717,NA,0.00356193952759557,NA,NA,0.0914494856757372,-0.472182081088604,-0.146805253389354,0.000111836230501938,0.033795425287623,-0.00169594852861386,NA,8,-176.71134354538,370.295414363488,10.0262653568817,0.000201110171694973
"1531",-0.565522372823291,NA,0.00365621840433549,NA,0.00542405272136561,0.10635606409026,-0.485057125648224,-0.137891961424992,0.000475541732104388,0.0411836602919535,NA,-0.139542891692713,9,-175.610500711007,370.318562397623,10.0494133910169,0.000198795937462658
"1787",-0.539672002501039,NA,0.00367446612291871,NA,0.00532944384552447,0.106046389554109,-0.486671518489837,-0.1383162345436,0.000477331286429247,NA,-0.000358898853524832,-0.138614735100688,9,-175.612205376536,370.321971728682,10.0528227220758,0.000198457345555641
"1915",-0.575680256726576,NA,0.00364093923646571,NA,0.00580445304692763,0.10878415464554,-0.482235774293102,-0.127554888960137,NA,0.0435710565295238,-0.0003881368886156,-0.137125115969986,9,-175.618460468377,370.334481912364,10.0653329057585,0.000197219850988556
"1772",0.128537739332391,0.214517322624035,0.00374331496807092,NA,-0.00202118005998277,NA,-0.479931311631157,-0.11346367293713,-5.38209969974051e-05,NA,-0.000141546247939866,-0.129774537470025,9,-175.620107904185,370.33777678398,10.0686277773736,0.000196895211428915
"1900",0.128697773432807,0.213165585083104,0.00374480714736117,NA,-0.00200701879322478,NA,-0.480046230778632,-0.114394180492406,NA,0.00394582015950157,-0.000138266283285528,-0.129968244896953,9,-175.620198619482,370.337958214575,10.0688092079688,0.000196877350831341
"1516",0.12160105765381,0.214219573057798,0.00373970423590841,NA,-0.00200654958929478,NA,-0.479850388561554,-0.113840633926286,-5.16468653201319e-05,0.00413395022095404,NA,-0.130185064536556,9,-175.620363450669,370.338287876949,10.0691388703426,0.000196844901978299
"2020",0.125111933148383,0.19959696246746,0.00376718816064926,NA,NA,NA,-0.4846850837109,-0.12137106519654,-5.47931150203527e-05,0.0102610106497723,-0.000140347066776208,-0.130109470161409,9,-175.62771524463,370.352991464869,10.0838424582635,0.000195403045427152
"2035",-0.490880939735609,NA,0.00361224093759242,NA,NA,0.0966464248783447,-0.467793984475459,-0.112419466238311,0.00064525954440407,0.0230770611741073,-0.000264685384350527,-0.138152198235635,9,-175.672533047418,370.442627070445,10.1734780638394,0.000186838857788922
"504",-0.656573482348066,0.268958958923657,0.00354988615160998,0.0105631748121597,NA,0.096754468918435,-0.504965998890405,-0.16936091429599,-0.000734911744332143,0.0868772539202526,NA,NA,9,-175.688124692875,370.47381036136,10.2046613547541,0.000183948325197287
"704",-0.686796970994512,0.297528758132937,0.00361516083150994,0.0118302616136597,-0.00415347228229063,0.0965199185607663,-0.500343763770701,NA,-0.0013332506957029,NA,-0.0037890588835238,NA,9,-175.688823686264,370.475208348138,10.2060593415317,0.000183819791461438
"1904",0.0128449594759363,0.247749704944665,0.00386466708981985,0.0140632613588334,-0.00215503811876346,NA,-0.49108830683131,-0.0879319725010369,NA,0.0586295585641789,-0.00140724453323024,-0.149649474529035,10,-174.563589420793,370.47687209312,10.2077230865136,0.000183666940418738
"1776",0.0319865662595954,0.239802489983861,0.0038945457102028,0.0140557888322839,-0.00235232820340532,NA,-0.495497383378369,-0.0973146266950736,0.000361861241680506,NA,-0.00139230022152849,-0.151065614621969,10,-174.565354802816,370.480402857167,10.2112538505606,0.000183342984141241
"952",-0.780003888962801,0.271947610643358,0.00362353931379723,0.0119389183556309,NA,0.104919032248262,-0.505618103129518,NA,-0.00144862683095568,0.120168795825522,-0.00387717851531025,NA,9,-175.692369477862,370.482299931335,10.2131509247287,0.00018316915897452
"2024",0.0161472092323776,0.223930444999918,0.00390714203638723,0.0141548872089876,NA,NA,-0.498698404702805,-0.103075935208098,0.000358764278725278,0.0646454101037235,-0.00139400914689524,-0.151781744561215,10,-174.567095445309,370.483884142152,10.2147351355463,0.000183024127140803
"256",-0.609473754767774,0.280390698143342,0.00355811329451079,0.0104856727094727,-0.00195648279317652,0.0922861553530213,-0.504052542072282,-0.165462844586278,-0.000701033893981132,NA,NA,NA,9,-175.696805278383,370.491171532376,10.2220225257699,0.000182358456510296
"384",-0.602155771468856,0.262489839868766,0.00356882272739743,0.0107196054071721,-0.00182359731258675,0.0909137878640775,-0.503870494418062,-0.1788410201385,NA,0.0792654897074915,NA,NA,9,-175.70372815866,370.50501729293,10.2358682863238,0.000181100370562193
"1520",-0.036582726109744,0.236093977412765,0.00385174595995511,0.0137885662234047,-0.00214584471267588,NA,-0.493905101465391,-0.100135747961223,0.000374969720901746,0.0577031561531734,NA,-0.155067512266278,10,-174.585919750465,370.521532752464,10.2523837458579,0.000179611050306546
"1964",-0.0131191733604343,0.220123404736213,0.00372898364103935,NA,-0.00372636147482409,NA,-0.479110492042439,NA,-0.000451280949973441,0.0196139912327818,-0.000357005996316789,-0.13350131564713,9,-175.714319022575,370.526199020759,10.2570500141528,0.000179192482109567
