"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","latitude","longitude","nearest_SP","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"5351",-3.43149939881299,NA,2.18488897522205,0.763094781743351,NA,NA,-0.0591777314284088,0.88200420455888,-1.08348738563829,NA,NA,1.26494088430913,NA,-0.706646196241714,8,-75.5340691446127,167.940865561953,9.05724236661587,9.42239001718452e-05
"5829",-3.21431544959544,NA,NA,0.531946162979076,NA,NA,NA,1.90346848153748,-1.87286823842483,NA,0.82951688479148,2.19219967663481,NA,-0.613152348625583,7,-76.6332785022538,167.941255799688,9.05763260435148,9.42055171046232e-05
"2831",-3.27475937174379,NA,3.23599345850925,0.713523385681132,-0.209149503746854,NA,NA,NA,NA,-0.762873146067265,0.848390760787994,NA,-0.602605904594465,NA,7,-76.6352950790882,167.945288953357,9.06166575802018,9.40157358597065e-05
"720",-2.92609047231079,0.187971234017251,2.68443548071898,0.576923887928905,-0.135512752281003,NA,NA,0.550184280963215,-2.37251035166524,NA,0.935381099230451,NA,NA,NA,8,-75.5372753244449,167.947277921617,9.06365472628028,9.39222851777314e-05
"1542",-3.42028964162678,-0.0390261692012546,NA,0.44668474510793,NA,NA,NA,NA,NA,NA,0.426892617006446,3.10892386401787,NA,NA,5,-78.7950696203993,167.947282097942,9.06365890260466,9.39220890529713e-05
"1350",-4.16083608420687,0.14817904073465,NA,0.456072316301375,NA,NA,NA,2.10792773132785,NA,-0.132283726822112,NA,2.70492130796445,NA,NA,6,-77.7232027204146,167.949399452805,9.06577625746843,9.38227084722066e-05
"4383",-3.45140430215295,NA,2.93705477423728,0.865165900339222,0.125496444169619,0.327622810974468,NA,NA,NA,-0.217745120550603,NA,NA,NA,-0.727815254971746,7,-76.6377775046245,167.95025380443,9.06663060909287,9.37826382396367e-05
"6087",-3.52139546107397,NA,2.68827670216208,0.815442840475787,NA,NA,NA,0.426283591190916,-1.98479756948866,-0.733595161525027,1.60358857852967,1.34126558985884,NA,-0.842182574554522,9,-74.4265019957817,167.950564967173,9.06694177183638,9.37680485431043e-05
"3589",-3.43773690263665,NA,NA,0.440359150460636,NA,NA,NA,NA,NA,NA,0.396561732389329,3.11832139986976,0.0402833599762478,NA,5,-78.7968589357119,167.950860728567,9.06723753322979,9.37541830839995e-05
"4805",-1.77153399371705,NA,NA,0.393273841779426,NA,NA,NA,2.07794354711337,-2.64421629682213,NA,0.620782866098323,NA,NA,-0.606758930428182,6,-77.7242734541814,167.951540920339,9.06791772500196,9.37223030934632e-05
"2764",-2.27284158219645,0.215960385336945,2.62633103238324,NA,-0.304996200248883,NA,NA,0.68764515634974,-2.39247904085976,NA,0.993584564199944,NA,-0.618712410137257,NA,8,-75.5398033047921,167.952333882312,9.0687106869747,9.36851513477552e-05
"3142",-4.18044086152976,0.140239417103468,NA,0.472757801123549,NA,NA,NA,2.11817510514287,NA,NA,NA,2.72928437382031,-0.115860244055817,NA,6,-77.7248188691944,167.952631750365,9.06900855502795,9.36711994799096e-05
"2625",-2.55217608113335,NA,NA,NA,NA,NA,NA,2.38454416993745,NA,NA,-0.260832248992073,NA,-0.256911667512954,NA,4,-79.8586448822356,167.953976155004,9.07035295966691,9.36082546405546e-05
"5130",-2.62452841521995,0.120734551799963,NA,NA,-0.255859553751957,NA,NA,NA,NA,NA,NA,2.84936058658826,NA,-0.421813800569171,5,-78.7988500252837,167.95484290771,9.07121971237339,9.35676958257754e-05
"4552",-2.72103799612067,0.435517380644764,2.55174060909483,0.740949761358989,NA,NA,NA,0.846007732196227,-1.82569009848668,-0.21241780470336,NA,NA,NA,-0.69053168554089,8,-75.5414740630954,167.955675398918,9.07205220358111,9.35287567883886e-05
"6039",-3.44004948369934,NA,2.72917951327121,0.834813580528436,NA,0.230506183414202,NA,NA,-2.01349025915114,-0.752791937563567,1.6647011576967,1.29970751284314,NA,-0.825872170482858,9,-74.4298135120019,167.957187999613,9.07356480427663,9.34580476991287e-05
"1354",-3.69870322329031,0.191658221749105,NA,NA,-0.359303154202502,NA,NA,2.15512990137691,NA,-0.177162319493602,NA,2.6018791221754,NA,NA,6,-77.7273848591716,167.957763730319,9.07414053498235,9.34311482371476e-05
"4144",-3.42577786871789,0.208572770026353,3.17826621786268,0.836907753415867,-0.000266254320844684,NA,-0.0563504330000294,NA,NA,NA,NA,NA,NA,-0.761335660477669,7,-76.6416884677941,167.958075730769,9.07445253543199,9.34165740938318e-05
"6031",-3.2427101115195,NA,2.82264292038816,0.777118168506652,-0.223070804106276,NA,NA,NA,-2.00914391609738,-0.809128325195638,1.73292075484525,1.33162944476639,NA,-0.841772570734237,9,-74.4304916816228,167.958544338855,9.07492114351851,9.33946887768233e-05
"1546",-3.01295771264436,-0.0202905636944242,NA,NA,-0.350239605415326,NA,NA,NA,NA,NA,0.505054058938832,3.05521370968179,NA,NA,5,-78.802050438362,167.961243733867,9.07762053852991,9.32687192278514e-05
"2779",-2.37602735476764,NA,2.50136881920413,NA,-0.191716575075292,0.338518419406255,NA,0.535561435163895,-2.35694805215938,NA,1.1487571227186,NA,-0.659743173584863,NA,8,-75.544306021945,167.961339316617,9.0777161212805,9.32642618939995e-05
"3593",-3.02898605959099,NA,NA,NA,-0.348567570394176,NA,NA,NA,NA,NA,0.488939254457124,3.06138884896687,0.028418992390968,NA,5,-78.8023740316409,167.961890920425,9.0782677250877,9.32385429798572e-05
"1240",-3.6148850521247,0.429550582549812,2.10111948401858,0.627483241562255,NA,0.242606644540474,NA,0.822408051198729,-1.45908101325098,NA,NA,1.25709923545341,NA,NA,8,-75.5448547893672,167.962436851462,9.07881365612471,9.32130955459221e-05
"5833",-2.74812728732302,NA,NA,NA,-0.41319966097097,NA,NA,1.92741453450066,-1.87067118160312,NA,0.916211324064039,2.12609988161736,NA,-0.579331921912893,7,-76.6439747340558,167.962648263292,9.07902506795546,9.32032428910837e-05
"2117",-2.8128837903705,NA,NA,0.317436114221569,NA,NA,NA,2.40251522674886,NA,NA,NA,NA,-0.335794409243515,NA,4,-79.8639377010578,167.964561792648,9.08093859731127,9.31141119658786e-05
"4900",-2.92912660591953,0.0408462621873272,3.16350451482868,NA,NA,NA,-0.126318796413536,NA,NA,-0.806218754632612,0.822447373325467,NA,NA,-0.72521216481703,7,-76.6452805249945,167.96525984517,9.08163664983294,9.30816183664378e-05
"905",-0.175238963275978,NA,NA,NA,-0.447957790167057,NA,NA,NA,-2.81823898146406,-1.0226221185504,1.17546966380788,NA,NA,NA,5,-78.8047515277101,167.966645912563,9.08302271722613,9.30171320165643e-05
"2716",-2.22529804355384,0.194112926175561,2.70273249759614,NA,-0.164066008028409,0.399445828625882,NA,NA,-2.40107420252648,NA,1.06537443109396,NA,-0.66998583891777,NA,8,-75.5476083464167,167.967943965561,9.08432077022388,9.29567810198525e-05
"3146",-3.7183862251842,0.181692929987434,NA,NA,-0.366831471571045,NA,NA,2.16339971364738,NA,NA,NA,2.63581019587684,-0.132583370942638,NA,6,-77.7334879733889,167.969969958754,9.08634676341691,9.28626637953188e-05
"2740",-2.21461474821151,0.195797837470235,2.65123388664602,NA,NA,0.45108878251412,-0.176244778012247,NA,-2.40966205791179,NA,1.050941575801,NA,-0.666238796805774,NA,8,-75.5491177074884,167.970962687704,9.08733949236731,9.28165815056906e-05
"4407",-3.34153877981083,NA,2.93248769959347,0.830143533968291,NA,0.284127363175869,0.000461945825026142,NA,NA,-0.223578711405637,NA,NA,NA,-0.727905656166449,7,-76.6482142597215,167.971127314624,9.08750411928679,9.28089417661764e-05
"744",-2.97879039014627,0.186117505511541,2.70031066513028,0.610113096763477,NA,NA,-0.0365622363641216,0.521687546830263,-2.37139000601861,NA,0.916205855724096,NA,NA,NA,8,-75.5492035899131,167.971134452553,9.08751125721659,9.28086105349119e-05
"8071",-3.29712325500579,NA,2.89216309824941,0.855721763879544,NA,NA,NA,NA,-2.00717682161304,-0.732906684332606,1.66461391274166,1.29912597971345,-0.262138875896755,-0.810879257263724,9,-74.4373266260065,167.972214227623,9.08859103228585,9.27585178464037e-05
"98",-2.52367948290734,-0.0496615874037043,NA,NA,NA,NA,-0.381757066948828,2.23214547566292,NA,NA,NA,NA,NA,NA,4,-79.8680384624974,167.972763315527,9.08914012019045,9.27330550517926e-05
"6055",-3.28046170273389,NA,2.79033007528336,0.81013140173489,NA,NA,-0.224637331578636,NA,-1.99360225750202,-0.740490352841717,1.67929941505298,1.38742474322366,NA,-0.854554854122389,9,-74.4391146887299,167.97579035307,9.09216715773272,9.25928079923181e-05
"6439",-3.13603649136164,NA,3.11541475350162,0.856101478620889,NA,NA,-0.0221664916700435,NA,NA,-0.182183187856891,NA,NA,-0.354663450342445,-0.695861502411032,7,-76.6532190657622,167.981136926705,9.09751373136834,9.23456114201722e-05
"7177",-2.68946619694859,NA,NA,NA,-0.207186055463201,NA,NA,NA,NA,NA,NA,2.80145808508173,0.19504412595349,-0.445788077990133,5,-78.8120487693114,167.981240395766,9.09761720042886,9.23408340869214e-05
"6415",-3.1546871704296,NA,3.12140950419935,0.8590459716921,0.00496941740298187,NA,NA,NA,NA,-0.183475912087605,NA,NA,-0.35302380229807,-0.694701096434419,7,-76.6534473637332,167.981593522647,9.09797032731024,9.23245315108007e-05
