"","(Intercept)","ALK_avg","boatlaunch","dist_waterfowl","latitude","longitude","nearest_W","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"6322",-2.90637957753524,4.93828027946944,NA,NA,NA,0.0141403570703401,-0.0348454398973424,NA,-1.76643744439615,NA,NA,NA,-1.34498418224732,0.00685664723908755,7,-62.5744077877968,139.81548224226,13.4322960810861,1.66217738079959e-05
"6246",-2.69045727954689,3.64878859000648,NA,0.102546918799804,NA,NA,0.419258946658858,-1.0858332731613,NA,NA,NA,NA,-1.42699709785527,0.0265934829311962,7,-62.5753912537392,139.817449174145,13.4342630129708,1.6605434895253e-05
"97",-0.895191859989545,NA,NA,NA,NA,NA,0.415788131225974,-1.86397935619169,NA,NA,NA,NA,NA,NA,3,-66.8391225506199,139.817779984961,13.4345938237865,1.66026884936626e-05
"6258",-2.67354283889834,3.67837060233536,NA,NA,NA,0.0473680438215316,0.412431170151153,-1.07765436627118,NA,NA,NA,NA,-1.41800616413944,0.0175676635642677,7,-62.5771361624271,139.820938991521,13.4377528303467,1.65764851922764e-05
"4750",-2.91694665039417,4.72288278787118,NA,0.16493710911346,-0.571716829790389,NA,NA,NA,-1.44085740821002,NA,-1.14344908951365,NA,NA,-0.218850377630933,7,-62.5779492659274,139.822565198522,13.4393790373473,1.65630122723255e-05
"4240",-3.6293245188035,5.3037531498974,0.545139310203853,0.362943889969324,-0.690805381004342,NA,NA,NA,-1.88571240542556,NA,NA,NA,NA,-0.218111222685899,7,-62.5787098934808,139.824086453628,13.440900292454,1.65504187789112e-05
"3983",0.588328986862397,NA,1.02354587916796,-0.018200576547974,-1.14842027835688,NA,NA,NA,1.88852473247694,-4.36797799042267,-1.50613583702224,0.314274090327736,-1.77040049247431,NA,9,-60.3706228164634,139.825582982324,13.4423968211501,1.65380393227237e-05
"1969",-0.558852775348001,NA,NA,NA,NA,-0.5190903608855,0.789281146636087,NA,1.11090423730532,-4.0814706023576,-1.62057995821908,0.729680240253306,NA,NA,7,-62.5795242489906,139.825715164648,13.4425290034737,1.65369463406103e-05
"3405",0.859974711728316,NA,NA,0.14069637114597,-0.734266801500733,NA,NA,-0.23670898636251,NA,-3.88877939873649,NA,0.468634755467689,-1.79638634319156,NA,7,-62.5800783495404,139.826823365747,13.4436372045733,1.652778574773e-05
"7437",0.73344152942202,NA,NA,0.15166460634124,-0.741917845702769,NA,NA,NA,NA,-3.97450371389461,NA,0.377589804182488,-1.8096662493296,0.132508685631906,7,-62.581952947883,139.830572562433,13.4473864012584,1.64968318101257e-05
"3981",0.644945355286739,NA,NA,-0.148533391901175,-1.04038056672321,NA,NA,NA,1.50296715775459,-4.00513759013639,-1.60406874461823,1.07283820444868,-1.7704974113365,NA,8,-61.4846803519768,139.831636153055,13.4484499918811,1.64880612046067e-05
"6372",-2.21523993448874,4.7113321275825,0.776886173993806,NA,NA,NA,0.407779858576292,-1.65511407457548,-1.60926735538684,NA,NA,NA,-1.38777732277122,0.0755480099042858,8,-61.4849201191363,139.832115687374,13.4489295262002,1.64841083829027e-05
"5110",-2.83255371292323,4.94011930599744,NA,0.150941887630955,NA,0.156152182488127,0.647176791214004,1.45866698381447,-1.30465079522406,-4.40770810288269,-1.36623440547839,NA,NA,-0.0452281559031215,10,-59.2499383431458,139.833210019625,13.4500238584507,1.64750913043359e-05
"686",-3.1545814536199,4.6931738943876,NA,0.209222247313283,-0.576820357566853,NA,0.294436098478288,NA,-1.38873502369831,NA,-1.18823211136825,NA,NA,NA,7,-62.5838833396561,139.834433345979,13.4512471848047,1.64650171789474e-05
"2292",-2.25362069444967,4.74976299953307,0.775573074610464,NA,NA,0.0635121969306195,0.411234595770538,-1.65453880840791,-1.60441400693273,NA,NA,NA,-1.35455249538233,NA,8,-61.4863756491317,139.835026747365,13.4518405861911,1.64601327215837e-05
"4439",0.197511113357247,NA,0.902931215101129,0.224073880676852,NA,-0.704643908005718,NA,-0.54757366634415,NA,-4.28837997997225,NA,NA,NA,0.0101564650924464,7,-62.5856713411355,139.838009348938,13.4548231877634,1.6435604007107e-05
"4184",-3.46117355352132,4.05993782125748,0.75519240297379,0.271702924790076,NA,0.314476922172507,NA,-1.62123330861725,NA,NA,NA,NA,NA,-0.125772385693532,7,-62.586649652736,139.839965972139,13.4567798109644,1.64195327276872e-05
"1706",-3.04756656530265,4.71410739175386,NA,NA,-0.586899682433863,NA,0.2768948769745,NA,-1.39724881493147,NA,-1.27926412849125,0.123869027897355,NA,NA,7,-62.5898439888922,139.846354644451,13.4631684832769,1.63671669021789e-05
"7011",0.644146023512123,NA,0.896594588859342,NA,NA,NA,0.683763573944045,-0.314922985911219,NA,-4.28335373555824,-1.22445969189518,NA,-1.38999029688277,0.241810631328136,8,-61.4920440619813,139.846363573064,13.4631774118903,1.63670938342889e-05
"3120",-3.10403782698026,4.15969449039687,0.956266263104829,0.410195249585062,-0.875164714321432,NA,0.379200555503727,NA,NA,NA,NA,-1.20370788506942,-1.43481171380779,NA,8,-61.492101899096,139.846479247294,13.4632930861196,1.6366147236181e-05
"6590",-1.81575805106953,4.38930820962523,NA,0.390501642480591,-0.567485797765413,0.134077363655201,0.704381344044005,NA,-1.12891993758591,-3.60386327009322,NA,NA,-1.32130271541368,0.0265704306973651,10,-59.2584987777037,139.850330888741,13.4671447275666,1.63346593004609e-05
"3023",0.442003484873053,NA,1.06749503250507,-0.0011031671206785,-1.13179668530124,NA,NA,0.277349324867408,1.95826363499212,-4.38943629891752,-1.43409788170696,NA,-1.73945770525911,NA,9,-60.3829977679498,139.850332885297,13.467146724123,1.63346429939346e-05
"6646",-2.20505177992181,4.62810512540894,NA,0.253249261163668,NA,-0.0533721129344899,0.504436952650961,0.854068125401595,-1.31652631950003,-4.17557839294111,NA,NA,-1.25422201174048,0.0240768771434006,10,-59.2588948125193,139.851122958372,13.4679367971978,1.63281914875011e-05
"7507",1.18564469446271,NA,0.919216330669705,NA,NA,-0.951900164871198,NA,-0.386436715920309,NA,-4.19356975105683,NA,-0.167829722386275,-1.78518564583374,0.182238192486357,8,-61.4957926149756,139.853860679053,13.4706745178788,1.63058557644724e-05
"1027",-1.33148333766209,NA,0.639777817032967,NA,NA,NA,NA,NA,NA,NA,NA,-1.72489970808577,NA,NA,3,-66.8571661463975,139.853867176516,13.4706810153417,1.6305802791212e-05
"6236",-2.19591322055432,3.97376059885885,0.808648740058735,NA,-0.853679537222395,0.204486187527145,NA,-1.4102866642888,NA,NA,NA,NA,-1.62772011570514,0.0252950949224196,8,-61.4963232325939,139.85492191429,13.4717357531155,1.62972058852135e-05
"1357",-0.140791411436243,NA,NA,0.219724373932473,-0.482650408914572,NA,NA,-0.199705388386039,NA,-3.91481617226477,NA,0.267838186115594,NA,NA,6,-63.6816578865756,139.86035719327,13.4771710320954,1.6252976082475e-05
"6224",-2.17023847421983,3.85104398646126,0.813033888789587,0.252855078691405,-0.840380058251316,NA,NA,-1.40904556670656,NA,NA,NA,NA,-1.67351521252483,0.0432159615866893,8,-61.4994402589609,139.861155967024,13.4779698058493,1.62464861531984e-05
