"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","latitude","longitude","nearest_W","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"3848",-5.1257568503663,0.927785820328092,3.9048055908691,1.20335278291327,NA,NA,NA,NA,NA,-1.04620856102659,-0.161514815891908,3.11428016338963,-1.6752254638822,NA,8,-57.553992562964,131.980712398655,7.26647758675489,0.00017495004859382
"2324",-3.01226414461239,0.772344925031291,4.40843016218891,NA,NA,-0.023005431996351,NA,NA,NA,-1.58498869666741,NA,NA,-1.66334142192415,NA,6,-59.739805347702,131.98260470738,7.26836989547965,0.000174784597125801
"5223",-5.76886564607219,NA,3.92364266277984,1.26419649548659,NA,NA,0.548567928959212,-0.77570422165878,NA,NA,NA,3.33113820261416,NA,-1.27883910806169,7,-58.6541368036573,131.982972402495,7.26873759059492,0.000174752466358179
"1456",-3.55052669367724,1.17155334021819,3.45404403080724,0.826123558490554,-0.622958741381995,NA,0.450900547660441,NA,-3.08805917783538,-1.36680627886137,NA,1.93986099808688,NA,NA,9,-56.4439491901208,131.985459355851,7.27122454395101,0.000174535300789975
"5955",-4.54068231242694,NA,3.84518852882573,NA,NA,NA,NA,-0.897921270018546,NA,-1.43084364722265,0.911342414208388,3.27025739632386,NA,-1.18697460854936,7,-58.6554395935421,131.985577982265,7.27134317036447,0.000174524948848603
"1964",-2.99803659400909,0.982575725630669,3.4251505962002,NA,-0.830666022776018,NA,0.401062861383049,NA,-3.43345155252363,-1.80297890858353,0.913108030344679,1.98395204823142,NA,NA,9,-56.4453154034705,131.988191782551,7.27395697065029,0.000174297011146363
"1057",-4.02001027563492,NA,NA,NA,NA,NA,-0.25942569154038,NA,NA,NA,NA,4.60789112089068,NA,NA,3,-62.9236763058136,131.988529082215,7.2742942703151,0.00017426761846325
"6660",-3.05553002086959,0.943215876550807,4.42013109331024,NA,NA,NA,NA,NA,NA,NA,-0.971165931461813,NA,-1.59009144253607,-0.828617103876297,6,-59.7436338892752,131.990261790526,7.27602697862608,0.000174116706368926
"5703",-5.72415707865538,NA,3.97719032424789,1.18773843811868,NA,NA,NA,-0.917900776779506,NA,NA,0.457263858838613,3.54292046697804,NA,-1.32035627062551,7,-58.6582445464604,131.991187888101,7.27695307620107,0.000174036100502823
"4164",-3.71666493640311,0.581030233822986,4.65958917887105,NA,NA,NA,NA,-0.905769404145124,NA,NA,NA,NA,NA,-1.11488134806901,5,-60.8179817688921,131.993106394927,7.27887158302676,0.000173869235825009
"2091",-3.11582835574854,NA,4.20542467972304,NA,-0.861529210375619,NA,0.739098842177303,NA,NA,NA,NA,NA,-1.95048351818769,NA,5,-60.818102802788,131.993348462719,7.27911365081857,0.00017384819302749
"3368",-5.20573172472444,0.879433912773555,3.93051260046556,1.21018468812812,NA,NA,0.0586012976104837,NA,NA,-1.12476429397979,NA,3.14417625583566,-1.67938522480553,NA,8,-57.560603290889,131.993933854505,7.27969904260493,0.000173797315821492
"1104",-5.75680885018844,0.786794102687467,3.78270438663673,0.864258490877213,-0.359033630266933,NA,NA,-0.886578621572301,NA,NA,NA,3.62446781768168,NA,NA,7,-58.6658245763858,132.006347947952,7.29211313605194,0.000172721888827353
"1619",-5.04242160614214,NA,3.66302157186677,NA,NA,-0.500997093880953,NA,-0.806512623131866,NA,NA,0.193289193076045,3.59386254905849,NA,NA,6,-59.7521757363439,132.007345484664,7.29311067276353,0.000172635762095282
"1488",-3.30265235183098,1.18889436359112,3.59051448365855,0.839092718029899,-0.462366924109076,NA,NA,-0.521426221331423,-3.05267818331555,-1.31981738762618,NA,1.99789021837214,NA,NA,9,-56.4551100261023,132.007781027814,7.29354621591392,0.000172598171026718
"5167",-5.86730943985812,NA,3.65682573340944,1.18056536341184,-0.403409609585682,NA,0.749636541371017,NA,NA,NA,NA,3.31065847119625,NA,-1.3036099548143,7,-58.6670569976975,132.008812790576,7.29457797867528,0.000172509153807083
"1139",-5.02925974777915,NA,3.6273585304206,NA,NA,-0.488225731256946,0.217016758804256,-0.750298470541021,NA,NA,NA,3.5062629177228,NA,NA,6,-59.7543732155665,132.011740443109,7.29750563120865,0.000172256815111561
"2019",-3.20822431715833,NA,3.70273577476605,NA,NA,NA,0.224524088476261,-1.03934917513982,-3.13430848857151,-1.82955722487675,1.60180598953881,2.22145641391613,NA,NA,8,-57.5702047069327,132.013136686593,7.29890187469238,0.000172136600850724
"3043",-1.37160413051364,NA,4.27590439636649,NA,NA,NA,0.169983263830371,-0.899531403484993,-3.75811444077346,-1.99168821482135,1.59354535243383,NA,-1.56153749082133,NA,8,-57.5713304231077,132.015388118943,7.30115330704231,0.000171942932922854
