"","(Intercept)","ALK_avg","boatlaunch","dist_waterfowl","latitude","longitude","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"1137",0.166024718547707,NA,NA,NA,NA,-1.57765221975885,-1.8451029504903,2.71331618147441,NA,NA,NA,-0.0318804411815226,NA,5,-106.514477535654,223.381896247779,35.8929206290682,2.62596195980554e-10
"1863",-2.58894080846942,NA,0.285009688694864,0.96163400767514,NA,NA,NA,4.47973862222988,NA,1.63618706540064,-3.46869392143376,0.182179478295217,NA,7,-104.370942502415,223.408551671497,35.9195760527866,2.59119608484834e-10
"1413",1.31464533320669,NA,NA,0.661775791244482,NA,NA,NA,NA,-4.86326420198399,-0.101126273858189,NA,0.297031194963224,NA,5,-106.533416650988,223.419774478447,35.9307988597365,2.57669655752907e-10
"2887",-2.47097933574361,NA,0.276419427732101,0.937965645243196,NA,NA,NA,4.50680377974428,NA,1.67172719976706,-3.44222232870543,NA,-0.108286834610745,7,-104.378877525334,223.424421717335,35.9354460986242,2.57071624598196e-10
"3205",1.27983782876589,NA,NA,0.671795115212933,NA,NA,NA,NA,-4.88686415738016,NA,NA,0.271267592790405,0.0244163956908818,5,-106.539740709269,223.432422595008,35.9434469762973,2.56045279571385e-10
"2725",1.48747636333068,NA,NA,0.873485536428005,NA,NA,-0.267272440375719,NA,-4.06694044096382,NA,-0.973104822092359,NA,0.168373957542991,6,-105.473373033646,223.443787487411,35.9548118686999,2.54594442102039e-10
"879",-1.78890233644878,NA,0.35999633750888,1.19494427986963,-0.833935541341217,NA,-0.904484825740088,4.31315383022329,NA,1.58724708350914,-2.86719177046685,NA,NA,8,-103.292627196456,223.447529842013,35.9585542233028,2.54118496189373e-10
"1679",1.62316687592154,NA,0.121645753542144,1.13948724522655,-1.01472458121564,NA,NA,NA,-4.27460237280044,NA,-0.91417976791408,0.294323964703356,NA,7,-104.398791794229,223.464250255125,35.9752746364146,2.52002868934267e-10
"1953",1.65850000670094,NA,NA,NA,NA,NA,-0.392222627926357,NA,-3.87105458564702,0.762796352513517,-1.21852187400455,0.321340307185674,NA,6,-105.485249333236,223.46754008659,35.9785644678793,2.51588686191809e-10
"105",-0.434089823958171,NA,NA,NA,-1.22292310186475,NA,-1.86053414817167,3.61037495127739,NA,NA,NA,NA,NA,4,-107.618481203622,223.470880535899,35.9819049171881,2.51168827292303e-10
"537",1.53307550256157,NA,NA,NA,-0.362902924484848,-2.00174058554793,NA,NA,NA,NA,-1.80017171757553,NA,NA,4,-107.62502844671,223.483975022075,35.9949994033646,2.49529735545045e-10
"2695",1.4085705891659,NA,0.0592719096800448,0.875308476487163,NA,NA,NA,NA,-4.18177194247971,NA,-1.10632768272674,NA,0.165535574166161,6,-105.495978172378,223.488997764874,36.0000221461631,2.48903859935935e-10
"1419",2.15600925681291,NA,-0.136788843266069,NA,-1.02514180106921,NA,NA,NA,-4.54876727679531,-0.08056580229596,NA,0.159061156425259,NA,6,-105.49687735588,223.490796131878,36.0018205131676,2.48680150284527e-10
"679",1.57463384322047,NA,0.08010277669699,0.867273799701579,NA,NA,-0.292779406238091,NA,-4.06766335266693,NA,-1.00500094077407,NA,NA,6,-105.497188958093,223.491419336305,36.0024437175945,2.48602673070914e-10
