"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","latitude","longitude","nearest_LM","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"4458",1.69780904885931,-0.0871808499581353,NA,NA,-2.56537225585928,NA,1.77841053472929,-0.19050561570652,NA,-3.91142816077825,NA,NA,NA,0.864367671033566,NA,7,-92.3803662826481,199.435431360477,23.1854424789975,1.37723265869226e-07
"6338",-3.8159794175855,-0.342113093603231,NA,NA,NA,NA,NA,-0.172778337069352,1.62790255056946,NA,NA,NA,4.85270157976842,1.28752492287295,NA,6,-93.4663034512129,199.435600914402,23.1856120329225,1.37711590603981e-07
"1672",-3.4436331411135,0.0503497935156743,3.58078341766712,1.67982660065586,NA,NA,NA,NA,0.75034627622493,NA,1.25512395343808,-2.439616555578,NA,NA,NA,7,-92.3811520146095,199.4370028244,23.1870139429204,1.37615094799695e-07
"11361",-1.44865385399949,NA,NA,NA,NA,NA,-0.465246171368889,-0.109834239959073,NA,NA,NA,-1.06906589591204,4.64233979433295,NA,-1.11776064108734,6,-93.4674264629584,199.437846937893,23.1878580564135,1.37557025675605e-07
"1108",-2.00160612893793,0.0222207079462158,2.86046897639624,NA,NA,1.28822214120915,NA,-0.0646898325719181,NA,NA,NA,-1.61788005342595,NA,NA,NA,6,-93.4675765550406,199.438147122057,23.188158240578,1.37536381004533e-07
"14562",-3.6740747597044,-0.338950603931921,NA,NA,NA,NA,-0.205493254087641,-0.148202662697517,1.81435305729725,NA,NA,NA,5.00187893297805,1.71220821734158,-1.54443223656342,8,-91.2829202068973,199.438567686522,23.1885788050426,1.37507462587933e-07
"6258",-3.72429206564779,-0.358646704963746,NA,NA,NA,1.49159751593216,0.333480691738512,-0.174338046360604,NA,NA,NA,NA,4.63355288698792,1.17859819679167,NA,7,-92.3822936868649,199.439286168911,23.1892972874312,1.37458073114742e-07
"4300",-1.22566351189387,-0.187772245349193,3.06776670105773,NA,-2.06031732515589,NA,NA,-0.154438140557577,0.672844440463653,NA,NA,NA,NA,0.305162695192029,NA,7,-92.3836538496762,199.442006494533,23.1920176130537,1.37271234849621e-07
"1273",-1.37254594429923,NA,NA,NA,-2.47698094135932,1.20208828727656,2.22196959012094,-0.197780569347087,2.93647617539438,NA,NA,-1.46087149462666,NA,NA,NA,7,-92.3837250299554,199.442148855091,23.1921599736121,1.37261464192539e-07
"6726",-3.97515188540534,-0.351951660467871,NA,1.56192250186531,NA,NA,NA,-0.277336107206042,NA,NA,1.11649264232542,NA,5.22545074744497,1.12618808940572,NA,7,-92.384134327205,199.442967449591,23.1929785681114,1.37205294948511e-07
"9370",-0.840867214353625,-0.0217491783224664,NA,NA,-1.92118811732816,1.2051188015991,NA,NA,3.02963749332716,NA,NA,-1.81805287230113,NA,NA,-1.34404938956592,7,-92.3848844065444,199.444467608269,23.1944787267902,1.3710241867902e-07
"5076",-1.59282234093657,-0.166347686578413,2.70412565830495,NA,NA,1.37123777952649,NA,0.00982473255954078,0.231498302924689,-3.98932669213682,0.110942727310176,NA,NA,0.462275686164,NA,9,-90.1752646540961,199.448090283802,23.1981014023226,1.36854304667205e-07
"8445",-1.63350812923289,NA,NA,1.42058754377853,-2.56455310169925,1.27368093299259,2.09143194396914,-0.333580448856069,2.71251395937993,NA,NA,NA,NA,NA,-1.27551587531207,8,-91.2885537049554,199.449834682638,23.1998458011588,1.36734992461891e-07
"13778",-0.842146726037395,0.0575349466931144,NA,NA,NA,1.73224202038029,NA,0.0500397036951408,2.17857940995694,-3.92187975264358,NA,-1.30449601432811,NA,1.0131154851454,-1.36280384788645,9,-90.1768402786868,199.451241532983,23.2012526515039,1.36638843447005e-07
"5855",-2.80964540080487,NA,3.02847298883789,1.62552060644351,-1.33926580113019,1.03611471867254,NA,-0.0946157084884024,0.636868667159464,NA,1.02625738696042,-1.74577634241171,NA,-0.011953074330301,NA,10,-89.0524926052555,199.454678462045,23.2046895805655,1.3640423608097e-07
"5272",-3.72353928461082,0.0201844197320325,3.19949116579748,1.77772821055303,NA,1.4358333535148,NA,NA,0.316607257632473,NA,NA,-1.87200045844015,NA,0.315733385124997,NA,8,-91.2922193368727,199.457165946473,23.2071770649933,1.36234689832171e-07
"3554",-2.24233920408414,-0.00300877488577205,NA,NA,NA,NA,0.102953447777324,0.0135700188216289,2.35668453757197,-2.52703496964569,NA,-1.19419107940444,3.74525440497624,NA,NA,8,-91.2928844518845,199.458496176496,23.2085072950169,1.36144108221764e-07
"5640",-3.41784169908287,0.0236001589774201,3.83056831933142,1.67378797308894,NA,NA,NA,NA,NA,NA,1.14834750369436,-2.36857632254644,NA,0.500453879467719,NA,7,-92.3957195437079,199.466137882597,23.2161490011173,1.35624914104456e-07
"9669",-0.300509473010377,NA,NA,1.41541058897186,NA,NA,NA,-0.0503841283278249,2.76654198578261,-3.62881529734315,NA,-1.06881455359714,NA,NA,-1.34553543392283,7,-92.3967996922036,199.468298179588,23.2183092981085,1.35478498147239e-07
