"","(Intercept)","boatlaunch","log(COND_avg)","log(dist_waterfowl + 1)","log(latitude)","log(longitude)","log(nearest_SP)","log(nonFP_species_richness + 1)","log(PH_avg)","log(secchi_avg)","log(shoreline_development)","log(surfacearea_ha)","log(TOTP_avg)","log(waterbodies_10km)","log(waterbodies_1km + 1)","df","logLik","AICc","delta","weight"
"3574",-118.091446012259,0.103301481239844,NA,0.102509606650094,NA,26.6966920378346,-0.301459528241873,0.169733559232411,1.72008949929584,-0.596922403965038,NA,0.127077565183767,0.373911638411548,NA,NA,10,-75.3355787044976,172.020850660529,13.4015554225749,6.01312056077546e-06
"13935",6.56689629286625,NA,1.01500633791837,0.206203666785266,-3.16666258400319,NA,-0.219425635748211,0.00680058460458214,NA,NA,-0.637098855027116,0.133655978753539,NA,-0.233148118315055,-0.488817171713965,10,-75.3360078521673,172.021708955868,13.4024137179142,6.01054059773155e-06
"16047",1.69262179490827,NA,0.801646128283488,0.212433192300171,-1.60574232949257,NA,-0.26101430156636,NA,0.352178484413024,NA,-0.416406071173144,0.17417645242312,0.351845382787795,-0.115998689990226,-0.522682347518367,11,-74.1961835780619,172.021996785753,13.4027015477993,6.00967565336741e-06
"5565",-170.139786753737,NA,NA,0.112604732182296,2.59687367187133,36.7313553031181,-0.275127928950075,NA,1.82907397837719,-0.75491695108835,NA,0.130680553397883,NA,-0.407204832628038,NA,9,-76.4625451307537,172.022651237117,13.403355999163,6.00770945486703e-06
"11674",-57.9729502136348,0.116624751783528,NA,NA,-10.7287253642915,21.6901678529809,NA,NA,2.44007459481436,-0.556316261446625,NA,0.139403264180265,0.319131416946162,NA,-0.293765024621585,9,-76.4626934048874,172.022947785385,13.4036525474304,6.00681873298919e-06
"6813",-91.1925984654376,NA,NA,0.135295102393318,-3.74594129960833,23.305225222492,NA,NA,2.78639571368727,NA,-0.101140007075516,NA,0.372469596244381,-0.145856344719435,NA,8,-77.5752635154058,172.023254303539,13.4039590655848,6.0058982040348e-06
"16264",-5.74465028643627,0.158802300341554,0.907826920681447,0.199685284138498,NA,NA,NA,NA,0.531243338225645,-0.576709983920623,-0.701901206795246,0.224141996910389,0.199610548111416,-0.163295224368112,-0.41025650264353,11,-74.1979967583313,172.025623146292,13.4063279083381,5.99878890085232e-06
"1670",-7.78403829277488,-0.043420407572579,NA,0.0655997618253276,NA,NA,NA,NA,3.39248345861994,NA,-0.690939990238283,0.0279568035652795,NA,NA,NA,6,-79.761450629357,172.02589527069,13.4066000327358,5.997972747969e-06
"10366",-180.475004009288,0.150078246910627,NA,0.175124906593361,10.181562505157,33.278060319989,-0.354927207813766,0.127077023478843,NA,NA,NA,NA,0.450695578317482,NA,-0.372174029999433,9,-76.4642577708608,172.026076517331,13.4067812793773,5.9974292163897e-06
"15935",-28.790218438157,NA,0.811138661137067,0.21926524074509,0.737414301736189,5.22482694722433,-0.264318867547678,NA,NA,NA,-0.408584647659345,0.176305037286769,0.349101231090672,-0.130306372724427,-0.518597277672749,11,-74.198290483043,172.026210595716,13.4069153577615,5.99702716705702e-06
"6127",34.3051104347937,NA,0.906677468157965,0.115496642647387,-10.689209697001,NA,-0.196747909406302,0.290205126855547,0.440708442977786,-0.825012064174317,-1.00344569820205,0.2029378608181,NA,-0.35198840634259,NA,11,-74.1987971363994,172.027223902429,13.4079286644744,5.99398952269542e-06
"14538",58.7761241109922,0.129140226137078,NA,NA,-17.5361725392848,NA,NA,0.0870312964106495,3.28806350049299,NA,NA,NA,0.423848207736567,0.0394746882770817,-0.275848263681652,8,-77.5776919751575,172.028111223042,13.4088159850882,5.99133081728887e-06
"5530",-117.218907249044,0.152185928266727,NA,NA,-8.97049837881766,33.9886153309494,NA,NA,2.60589422389633,-0.757347673047003,NA,0.100065632985255,NA,-0.350461081023618,NA,8,-77.5781735835735,172.029074439874,13.4097792019201,5.98844603666766e-06
"16271",33.2145895270564,NA,0.889341977116142,0.184477263814148,-10.4191951564528,NA,NA,NA,0.551915091685066,-0.565715665341522,-0.751471744818318,0.247504041953177,0.200734265345308,-0.171951622106392,-0.416410929994868,11,-74.1997429491127,172.029115527855,13.4098202899008,5.98832301135365e-06
"1696",-25.7781323133887,0.12021693120915,0.960443287723464,0.157766813776342,-5.25758164470627,8.86831800315277,NA,NA,0.497608547971113,NA,-0.789025288460348,0.103872014923732,NA,NA,NA,9,-76.4666577633832,172.030876502376,13.4115812644221,5.9830526897956e-06
"15592",-4.87070386600915,0.0984594067003392,0.82201113238206,0.215661581333135,NA,NA,-0.272610101043435,0.12702307224319,0.484993428022157,NA,NA,0.116062220293784,0.383676897346303,-0.126494281712483,-0.536263790743438,11,-74.2007661686098,172.031161966849,13.4118667288951,5.98219877624588e-06
