"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","latitude","longitude","nearest_W","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"364",-2.42714001693837,1.04014308617333,3.77586312011182,NA,-0.659446705036043,NA,0.355389526550888,0.0238651345871433,NA,-4.14943252594967,NA,NA,NA,NA,NA,7,-58.0192821354809,130.713263066143,5.99902825424212,0.00023147308700488
"1927",-2.33604036473136,NA,4.20183103321266,0.89672210817722,NA,NA,NA,NA,-1.1250105973245,-3.78421683824928,-2.14483773022416,1.57539073184436,NA,NA,NA,7,-58.0205152107612,130.715729216703,6.00149440480266,0.000231187839165419
"6283",-3.96693937468582,NA,3.624802331245,NA,-0.472485715958114,NA,NA,NA,-0.74605665030719,NA,NA,NA,3.09765037260429,-1.60663945044346,NA,6,-59.1065616141302,130.716117240236,6.0018824283361,0.000231142990355037
"1420",-2.0915021023749,1.10957864506978,3.85105933914956,NA,-0.530641746659233,NA,NA,NA,-0.451671638587835,-3.97123394384024,NA,-0.105719439315321,NA,NA,NA,7,-58.0233365752889,130.721371945759,6.00713713385812,0.00023053649327092
"455",-3.08092979321463,NA,4.09543252164714,0.790576766892077,NA,NA,NA,0.11430024793898,-0.694358549615371,-3.76481593227983,NA,NA,NA,NA,NA,6,-59.1097097998708,130.722413611718,6.00817879981727,0.000230416453525272
"1835",-2.06941716375926,NA,3.7814050061705,NA,-0.918240593587946,NA,0.806784631658932,NA,NA,-3.82722823141832,-2.33831937797688,1.66804297799698,NA,NA,NA,7,-58.023992318945,130.722683433071,6.00844862117029,0.000230385369982447
"12051",-3.24090573480673,NA,3.88553914582765,NA,NA,-0.635560733077932,NA,NA,NA,-3.06200853745248,-1.74101985151619,1.68317557423634,2.44697222546969,NA,-1.20853993015716,8,-56.9260241193592,130.724775511446,6.01054069954526,0.000230144503856888
"12739",-2.00684781154653,NA,4.39025339677073,NA,NA,NA,NA,0.172706787838503,-0.462105055603937,-3.90958462053367,NA,NA,NA,-1.51349907176307,-0.969896132133772,7,-58.0251503561435,130.724999507468,6.01076469556736,0.000230118729573563
"14855",-4.7339954405476,NA,3.83784280426709,1.25876417602098,NA,NA,NA,NA,NA,NA,-0.864260318062866,NA,2.94529429737828,-1.3879946224264,-1.1140820296556,7,-58.0256069458403,130.725912686861,6.0116778749609,0.000230013683715859
"1875",-2.46690666054226,NA,4.14882182861288,NA,NA,-0.214984923385596,NA,0.186915080134646,NA,-4.46599560553853,-2.40829098613008,1.21765064203411,NA,NA,NA,7,-58.0284632317897,130.73162525876,6.01739044685982,0.000229357636238496
"2384",-4.47999941597373,0.97762087129845,3.55485602828611,0.661720081333678,-0.464137307945365,NA,NA,0.094832986504163,NA,-3.41030732949279,NA,NA,2.66252913208883,NA,NA,8,-56.9294881035689,130.731703479865,6.01746866796464,0.000229348666110059
"2364",-3.5152278463681,1.09006581176955,3.64801644120916,NA,-0.86961625407168,-0.780918021791048,0.356498184494593,NA,NA,-3.06066677645844,NA,NA,2.6453269938977,NA,NA,8,-56.9310843014967,130.734895875721,6.02066106382028,0.000228982872261821
"6188",-4.57797509998522,0.894960791997841,3.73869145152787,NA,-0.893883314081916,NA,0.307542631863426,NA,NA,NA,NA,NA,3.35804323279743,-1.85533750449451,NA,7,-58.0312327425747,130.73716428033,6.02292946842977,0.000228723306588174
"4879",-1.7303739588158,NA,3.78312811355953,0.917640704216127,-0.490158241496582,NA,NA,NA,NA,-2.90165859007407,-1.10873604976649,NA,NA,-1.73843547786837,NA,7,-58.0318002918031,130.738299378787,6.02406456688649,0.000228593531682319
"7684",-4.44356001630534,0.902276710928521,3.66053840131748,NA,NA,NA,NA,NA,NA,NA,-1.00711046279386,-0.14502996487397,3.1373139648567,-1.49281078079157,NA,7,-58.0323666972435,130.739432189668,6.02519737776734,0.000228464091723537
"6692",-4.4303283621017,0.877440240704509,3.67002715329423,NA,NA,NA,-0.132716325461477,NA,NA,NA,-1.07903265030656,NA,3.17761568038717,-1.50951237878841,NA,7,-58.0330872898515,130.740873374884,6.02663856298332,0.000228299521489018
"876",-2.08078790912203,1.08872447211859,4.0046504897735,NA,-0.869905283955597,NA,0.35075757440915,0.154666113258235,NA,-4.29959296680777,-2.02314432832004,NA,NA,NA,NA,8,-56.9353420933068,130.743411459341,6.02917664744047,0.000228009983512303
"1356",-2.32232753182749,1.10042641207964,3.76475758958124,NA,-0.559194553329652,NA,NA,0.0445906554571804,NA,-4.11029409999346,NA,-0.243289440860836,NA,NA,NA,7,-58.0344444244008,130.743587643982,6.02935283208203,0.000227989898468377
"6724",-4.40166196830373,0.886750880250921,3.64945835058048,NA,NA,NA,NA,-0.0165784670441254,NA,NA,-1.05008204157612,NA,3.12383797097293,-1.50668156502447,NA,7,-58.0352387805816,130.745176356344,6.03094154444349,0.000227808865195353
"10820",-4.95893564644317,0.791781744971996,3.63893818852267,NA,NA,NA,NA,0.0294794972012523,NA,NA,-1.20763750794544,NA,3.32842188025518,NA,-1.1223218249474,7,-58.0364972516461,130.747693298473,6.03345848657244,0.000227522354650702
"10498",-2.25768734188537,0.847317999783953,NA,NA,NA,NA,NA,NA,NA,-3.14206069313584,NA,NA,3.54907169440838,NA,-0.791940636939807,5,-60.196748878163,130.750640613469,6.03640580156841,0.000227187311556829
"11203",-4.03478384469376,NA,4.03513736272056,NA,NA,NA,NA,0.307226169051033,-0.416450980222638,-3.35121234629779,-1.46495757190858,NA,2.68482482929164,NA,-1.09670936396963,8,-56.940056290666,130.752839854059,6.03860504215879,0.000226937629081349
"6220",-4.29658267059196,0.962446028578553,3.64519229936229,NA,-0.774718422138366,NA,NA,-0.0359834898766902,NA,NA,NA,NA,3.27829678124282,-1.85099821811397,NA,7,-58.0391339674274,130.752966730036,6.0387319181352,0.000226923233071344
"335",-3.10184089726759,NA,3.86508127087546,0.64424761643854,-0.344225261576195,NA,NA,0.13225841590602,NA,-3.87809165094326,NA,NA,NA,NA,NA,6,-59.1250062151303,130.753006442237,6.03877163033627,0.000226918727305548
"10643",-3.23648032519768,NA,3.59426594305759,NA,NA,-0.569626350356832,NA,NA,-0.515145298818604,-2.28118507162006,NA,NA,2.5400184612989,NA,-1.05217746264571,7,-58.040481318089,130.755661431359,6.04142661945829,0.000226617693783648
"14636",-2.64578323445147,1.18181215589827,3.76948453866896,NA,-0.890230723420888,NA,0.401002180829089,NA,NA,-3.09433667255123,NA,NA,2.18565920836841,-1.73785137052849,-0.841104302872215,9,-55.8305551497656,130.758671275141,6.04443646324049,0.000226276908347412
"13192",-1.94983534084556,1.23114722733174,4.53662010926348,1.33330534207189,NA,NA,NA,NA,-0.526164443143616,-3.67663508840164,-1.33871578576523,NA,NA,-1.6701586179195,-0.892472584967739,9,-55.8306576988684,130.758876373347,6.04464156144618,0.000226253705043225
"1351",-3.31160187413776,NA,3.88753191915017,0.747675786897018,NA,NA,NA,0.0956810033240846,NA,-4.01875269333441,NA,0.403626645985499,NA,NA,NA,6,-59.1306886211767,130.764371254329,6.05013644242899,0.000225632939601198
"2460",-3.32280476193463,1.10584745818279,3.71976303291288,NA,-0.740381452611233,-0.739258678859566,NA,NA,-0.336824632076916,-3.03991333148268,NA,NA,2.65521923054542,NA,NA,8,-56.9466424326381,130.766012138004,6.05177732610312,0.00022544789681653
"10788",-4.82123438069303,0.829491876614502,3.57826380513339,NA,NA,NA,0.024931515523445,NA,NA,NA,-1.15473195764598,NA,3.24729308928805,NA,-1.10345558608207,7,-58.0469369412133,130.768572677607,6.05433786570686,0.0002251594473683
"11780",-4.81771132935174,0.825623941682922,3.57898083621839,NA,NA,NA,NA,NA,NA,NA,-1.16544528364563,0.0226111449345581,3.25354510228572,NA,-1.10534266935339,7,-58.0469918069815,130.768682409144,6.0544475972433,0.000225147094161135
"1807",-2.26234101829422,NA,3.76923799164939,0.668912282353444,-0.579266229052418,NA,NA,NA,NA,-3.83005643613828,-2.22440996877478,1.61195570472575,NA,NA,NA,7,-58.0470718464755,130.768842488132,6.05460767623131,0.000225129074222804
"7179",-4.40857815732735,NA,3.44256796061489,NA,-0.594108332223149,NA,NA,NA,NA,NA,NA,0.332450487930642,3.26627643321954,-1.64737922544953,NA,6,-59.1329551621309,130.768904336238,6.05466952433756,0.000225122112426998
"1891",-2.57810509802005,NA,4.06441062833086,NA,NA,NA,0.081877555284806,0.189525411035796,NA,-4.46712860138864,-2.4008529353781,1.20437735344973,NA,NA,NA,7,-58.0475646310031,130.769828057187,6.05559324528645,0.000225018161428621
"816",-2.4177420732188,1.21113644001696,3.83005171061115,0.833009898094702,-0.703100397729012,NA,0.554218925782743,NA,NA,-3.76891107108476,-1.6882935174218,NA,NA,NA,NA,8,-56.9491639130719,130.771055098871,6.05682028697072,0.000224880150437364
"8711",-3.79479065404734,NA,4.23337943565831,1.08960136809127,NA,NA,NA,NA,NA,NA,-1.49866798932465,NA,NA,NA,-1.24994197343081,5,-60.2076554192158,130.772453695574,6.05821888367399,0.000224722947091274
