"","(Intercept)","boatlaunch","depth_max_m","dist_waterfowl","latitude","longitude","nearest_SP","nonFP_species_richness","PH_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"6469",-1.4315292986582,NA,NA,1.13886367260935,NA,NA,NA,-0.860770213802964,NA,-0.0792306150647025,NA,NA,-0.323676053181316,-0.00617237128635665,6,-81.0672177220318,174.631476864182,11.8671023334869,1.87582794553803e-05
"6214",-1.43311564672352,0.0309812032448996,NA,1.15103241706964,NA,NA,NA,-0.922044829230548,NA,NA,NA,NA,-0.33405440158685,-0.0071792604685351,6,-81.0679447222457,174.63293086461,11.8685563339147,1.87446471381531e-05
"2730",-2.36186587799705,0.0146449438877625,NA,NA,-0.573041928473979,NA,0.213730644217953,NA,2.479383535904,NA,-0.0841927906485907,NA,-0.553777797203019,NA,7,-79.9838752726873,174.634417212041,11.8700426813463,1.87307217842074e-05
"6836",-0.975315277731177,0.26460935075653,-2.65632475600663,NA,NA,-0.872555892446431,-0.366724470185962,NA,1.98735866380694,NA,1.18675367391047,NA,-0.474481934540491,-0.122293963926043,9,-77.7772996022179,174.638936553833,11.8745620231385,1.8688444301917e-05
"5408",-2.35144222821414,0.412732545280975,-1.32632195955087,1.24180594013011,-0.279109754718606,-0.691176484425044,NA,NA,NA,0.296204356992896,NA,2.2443923227969,NA,-0.121907255323729,9,-77.7775216430476,174.639380635493,11.8750061047978,1.86842951648944e-05
"1888",-2.0245468055306,0.148636772107632,-2.59133123985368,0.978684083427369,-0.806241748765448,-0.724623493774126,NA,0.279756768362658,NA,-0.745344220663889,2.0632185912431,2.42210199537385,NA,NA,10,-76.6532755472403,174.639884427814,11.8755098971189,1.86795892554049e-05
"2349",-1.67218707846706,NA,NA,1.17972632522023,-0.642134698536638,NA,0.274933118755592,NA,NA,-0.45176099957127,NA,NA,-0.331956663892963,NA,6,-81.0724771010509,174.64199562222,11.8776210915251,1.86598815367686e-05
"6408",-1.25579985217899,0.241688297404521,-1.78422877442794,1.1378196259474,NA,NA,NA,NA,NA,-0.0214087193448472,NA,NA,-0.180280990527652,0.015635514963814,7,-79.9888331394621,174.644332945591,11.8799584148958,1.86380871857553e-05
"7258",-2.39198838451312,0.121508813523288,NA,NA,-0.129550319268148,-0.727075823362198,NA,0.238612014783953,NA,NA,NA,2.68397866036779,-0.196059619750042,-0.232169363548881,8,-78.8912212730237,174.644717995149,11.8803434644543,1.863449923753e-05
"3320",-3.55798952930624,0.456489889458606,-1.73090514357255,1.05765788220889,NA,-0.612328667623715,-0.390503879303672,0.846546086318368,2.10305545248161,NA,NA,2.27812659112565,-0.196890878499004,NA,10,-76.6569825304771,174.647298394288,11.8829238635925,1.86104725176077e-05
"5368",-3.6194893253184,0.458949410481401,-1.73143752419294,1.0464710438584,NA,-0.607521575438113,-0.374845599287625,0.857866063307106,2.09817211805564,NA,NA,2.3015500132541,NA,-0.145787335907709,10,-76.6571728185688,174.647678970471,11.8833044397759,1.86069315032245e-05
"7911",-3.64175593416034,NA,-2.08530267575942,0.840929175643325,NA,NA,-0.285716941497296,0.276185853266579,1.99322088081787,NA,1.24119957505916,2.50340483227343,-0.228790327734908,-0.1163188985845,10,-76.6573560352647,174.648045403863,11.8836708731678,1.86035227149953e-05
"5920",-1.8635710930095,0.166869243122559,-2.53580479927426,0.977972724459846,-0.785591551594392,-0.699131511444313,NA,NA,NA,-0.669154558184612,2.10732083160001,2.36813787182149,NA,-0.138090349252415,10,-76.6575443301391,174.648421993612,11.8840474629165,1.86000200967959e-05
"970",-2.16679021675572,0.0688860621807237,NA,NA,-0.49750089545166,NA,NA,-0.393463056928028,2.33044048421219,-0.558654949082271,0.226174923293256,NA,NA,NA,7,-79.9921018216053,174.650870309877,11.8864957791823,1.85772646618896e-05
"3935",-1.89518784171547,NA,-2.54568891998758,0.932401408603554,-0.819156567932793,-0.735180614307084,NA,0.308004887399292,NA,-0.737458124640519,2.14817093546273,2.40208477002118,-0.249759466669696,NA,10,-76.6589397031887,174.651212739711,11.8868382090157,1.85740842293444e-05
"8135",-3.63335549794596,NA,-2.05229611058663,0.788285921755283,NA,NA,NA,0.257150388135703,1.96121177038168,-0.368621086860775,1.32987711472785,2.44853008665217,-0.161411920399352,-0.115645305692153,10,-76.6592892274997,174.651911788333,11.8875372576378,1.85675932697912e-05
