"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","latitude","longitude","nearest_LMSPW","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"2436",-1.01924022947471,0.162175058965688,4.60719324157015,NA,NA,NA,NA,NA,-4.12037016789731,-0.161855323245534,NA,NA,0.350444187573745,NA,6,-93.4287985890534,199.360591190083,14.8122928422173,4.76622889173586e-06
"7091",-2.03891009073473,NA,4.4859598540343,NA,NA,1.23349437245862,1.24760700898189,NA,-3.80028180464957,0.393048041226237,-0.844337858053018,NA,0.547841702344663,-0.742777453313221,9,-90.1322791411935,199.362119257997,14.8138209101312,4.76258872179975e-06
"3011",-1.53370358117439,NA,3.77148072527015,NA,NA,NA,NA,1.72528825118924,-3.56341630687262,0.520788553381619,-1.03340205235207,NA,0.323088345338589,NA,7,-92.3458546976856,199.366408190552,14.8181098426864,4.75238645401112e-06
"7517",-5.9049176791475,NA,NA,0.346642616320771,-1.01668193952151,1.25692594279719,NA,3.09859114755439,NA,0.373740993623773,NA,7.10065766279894,1.0891501565011,-1.10577478342283,9,-90.1366309056937,199.370822786997,14.8225244391317,4.74190808853111e-06
"8061",-6.09221955723446,NA,NA,0.380697183843539,-0.670252272731309,1.21557882033969,0.493610415323501,3.55920572397499,NA,1.59121794488408,-1.96684343556085,6.69305472975905,1.08928233252017,-0.942436740929682,11,-87.8715565916541,199.372742812938,14.8244444650723,4.73735797969331e-06
"5138",-4.16178819030171,-0.23501620409819,NA,NA,NA,1.95081815899672,NA,NA,NA,NA,NA,6.70244036097745,NA,-0.643003749165598,5,-94.5110387218359,199.379220300815,14.8309219529492,4.72203970961936e-06
"5681",-3.41281520727773,NA,NA,NA,NA,1.84060281533877,-0.324119786172955,NA,NA,NA,-1.03913570224351,6.40171042080281,NA,-0.618065289144884,6,-93.4394233464119,199.3818407048,14.8335423569343,4.71585693500931e-06
"3582",-4.33019537158913,0.145932201192849,NA,0.0896113034987748,-1.04868322493083,1.38568882883004,0.582240344947281,3.25551435892332,-3.31704344789553,0.213095563505747,NA,5.79293089299807,0.813529369766451,NA,11,-87.8767575355403,199.38314470071,14.8348463528447,4.71278320807125e-06
"6852",-1.32497262026471,0.425683617013637,4.01073211495012,NA,NA,NA,NA,1.72053594184749,-3.71712570511205,NA,-0.983261218077008,NA,0.679236830216906,-0.948360093795999,8,-91.2567580166427,199.386243306013,14.8379449581472,4.7054873337704e-06
"1142",-5.92461500721527,-0.159784759992625,NA,0.583099965947555,NA,1.6117119814721,-0.0524048124469264,2.71631884395135,NA,NA,NA,6.61727122118752,NA,NA,7,-92.3582047293001,199.391108253781,14.8428099059154,4.6940552684561e-06
