"","(Intercept)","ALK_avg","boatlaunch","dist_waterfowl","latitude","longitude","nearest_LM","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"6060",-0.626006115763181,4.30615409576734,0.113096018487603,NA,-2.32755190774967,NA,0.667447890917021,NA,0.507645176420359,-4.04182985226469,0.710325116489102,-0.712328186970428,NA,-0.246120260931063,10,-87.0800673677609,195.493468068855,15.4719139611615,1.93237162995829e-05
"4920",-1.44671294705578,4.04781019115529,-0.0874174971695652,2.14635358197373,NA,-1.06178820468679,-1.04056619790863,NA,NA,-4.41956562748008,0.778261944053632,NA,NA,-0.230759585547289,9,-88.2071625337606,195.498662416919,15.477108309225,1.92735943612851e-05
"6034",-0.44217065902919,3.88168593533542,NA,NA,NA,-1.24482247490409,NA,NA,-0.242928876599383,-3.6202812941113,1.24863837956288,-1.28161950006241,NA,-0.160765143118523,8,-89.3189933364132,195.500262121928,15.4787080142345,1.92581844921923e-05
"4044",-0.999261948447154,4.48499556625118,0.0903927325409342,NA,-2.04482400412121,NA,NA,0.681598958705925,0.320485362208001,-4.2695645185555,0.49195839710927,-0.855997748762862,0.467059102708797,NA,10,-87.0853620106079,195.504057354549,15.4825032468555,1.92216744991246e-05
"4436",-0.429518475800732,3.88089437779066,-0.145807529884698,NA,NA,-1.26604302056945,NA,0.319662919705536,NA,-4.3498482836613,NA,NA,NA,-0.181206090767753,7,-90.4229605266663,195.512587719999,15.4910336123056,1.91398651350696e-05
"345",2.85260541460909,NA,NA,NA,-1.79118628576573,-1.62002974696409,NA,-0.247979607958381,NA,-4.26477909959567,NA,NA,NA,NA,5,-92.5807699468269,195.514481070124,15.4929269624307,1.91217544758524e-05
"6092",-0.639769276475127,4.42298493840717,0.0691131063564399,NA,-2.17170756985687,NA,NA,0.65061880681276,0.419857005466063,-4.20737089913413,0.537665903097343,-0.762496250272788,NA,-0.317198135094755,10,-87.0910199172415,195.515373167816,15.4938190601226,1.91132271412815e-05
"4982",-1.44964859682769,4.0790549370732,NA,2.14977882292793,NA,-1.07179093732178,-1.07201052502543,0.0663538364510786,NA,-4.49707948634887,0.727447413830167,NA,NA,-0.233623176596814,9,-88.2195958365697,195.523529022537,15.5019749148433,1.9035443495198e-05
"4994",-1.23709930082516,4.94699267598886,NA,NA,NA,NA,NA,NA,-0.6531724401922,-4.33162184930812,0.528560418994707,NA,NA,-0.204534505567161,6,-91.5144690043797,195.525979428878,15.5044253211841,1.90121354909142e-05
"7976",-3.09439806319541,4.74817605217217,0.311910987836839,2.68246237971102,NA,NA,-0.991254628357493,NA,NA,-3.671072820601,1.71182049028663,-1.97400461615725,0.978894240680724,-0.228000189080335,10,-87.097016627563,195.527366588459,15.5058124807657,1.89989536298225e-05
"4536",-0.815132420524318,4.60640221290939,-0.0100314983696608,2.16941791719703,NA,-1.08477084413286,-1.12454173290222,NA,-1.21178843434793,-4.27793424122113,NA,NA,NA,-0.197973953822459,9,-88.2221278343665,195.528593018131,15.507038910437,1.89873067609762e-05
"7596",-0.68691171875663,4.46573366139986,0.106888627859413,NA,-2.34220115037842,NA,0.679978756542337,NA,0.321496392442585,-4.15353862024389,NA,-0.413921676865609,0.622648562000309,-0.329351494918957,10,-87.0996768057873,195.532686944908,15.5111328372142,1.89484801910289e-05
"6982",-2.93991452024453,4.86244278741049,NA,2.08262650371702,NA,NA,NA,-0.396075822772798,NA,-4.51046318801317,0.763779836444826,NA,0.854760046532784,-0.220177215532205,8,-89.3392982407211,195.540871930544,15.5193178228502,1.88710921349777e-05
"1435",1.52050919345451,NA,0.235376133331884,NA,-1.92238834926424,-1.28635439231603,NA,NA,2.45686808349157,-3.98474479183181,NA,-0.953339176760593,NA,NA,7,-90.4379003416092,195.542467349885,15.5209132421913,1.8856044484914e-05
"313",2.74265794483019,NA,NA,NA,-1.86931467467659,-1.65991241357279,0.191546343665569,NA,NA,-4.44618328577987,NA,NA,NA,NA,5,-92.5948216831413,195.542584542753,15.5210304350595,1.88549396203165e-05
"283",2.75384150097354,NA,-0.0764729789253246,NA,-1.78972896689503,-1.63556742106808,NA,NA,NA,-4.35452887019999,NA,NA,NA,NA,5,-92.5955392919644,195.544019760399,15.5224656527056,1.88414140029185e-05
"4868",-1.39133568821515,4.52716754034953,-0.207842329400976,NA,NA,NA,NA,NA,NA,-4.22712602035519,0.577721142530543,NA,NA,-0.205435175420914,6,-91.523967111264,195.544975642646,15.5234215349527,1.8832411067949e-05
