"","(Intercept)","ALK_avg","boatlaunch","dist_waterfowl","latitude","longitude","nearest_SP","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"3925",-0.510934904636737,NA,NA,1.01656885303054,NA,-1.04902697870191,NA,0.377887935006865,NA,-3.01233462952713,-0.688958531051366,0.98198930641253,-0.419293129112077,NA,8,-78.0435278743975,172.949331197897,16.0654431468812,3.22575470190584e-06
"5283",-2.64900182683402,NA,0.0419306675263987,NA,NA,NA,0.109280428718385,NA,2.40015128417442,NA,NA,-0.277022523919621,NA,-0.275427940293868,6,-80.2262247754574,172.949490971033,16.0656029200176,3.22549701772573e-06
"3561",-1.55431030497648,NA,NA,NA,-0.545993013201471,NA,0.315041486993905,0.315631117315547,2.20129702656497,-2.76739214359831,NA,0.622290723053375,-0.621795464014537,NA,8,-78.0436554661388,172.949586381379,16.0656983303638,3.22534314850242e-06
"3499",-1.40866110717731,NA,0.13129695825077,NA,-0.530537903743004,NA,0.307742881168,NA,2.17602253526846,-2.68614604621925,NA,0.6272171074861,-0.620301734396327,NA,8,-78.0458878533328,172.954051155767,16.0701631047519,3.2181509646177e-06
"7077",-2.13951925380415,NA,NA,1.09339967700316,NA,NA,0.233239868103611,NA,2.05997729922674,-2.28963535336338,-0.0403975300659016,NA,-0.388881851997521,-0.0653442652647967,8,-78.0466548652029,172.955585179508,16.071697128492,3.2156835510169e-06
"5043",-1.20570082434983,NA,0.34100120374619,NA,NA,-0.686701111543762,0.184292718832057,NA,1.89867492928747,-2.35277305702334,-0.251281765822584,NA,NA,-0.191031577965507,8,-78.047956864242,172.958189177586,16.0743011265702,3.21149945855682e-06
"2855",-1.07505261936478,NA,0.213101956192408,1.24727691344263,NA,NA,0.192838381613411,NA,NA,-2.58324960317727,-0.158233378885173,NA,-0.264173353547448,NA,7,-79.1461105998899,172.958887866446,16.0749998154309,3.21037773505315e-06
"3851",-0.0161978802489825,NA,0.0168159248941574,NA,-0.49118679168867,NA,NA,NA,NA,-2.86128808723928,-0.883137210862306,1.18827185406162,-0.380203656249397,NA,7,-79.1470805367689,172.960827740204,16.0769396891889,3.20726538092997e-06
"4461",-1.27827280747599,NA,NA,1.27693359159818,-0.391273967163988,NA,0.339811448329734,0.285788018710922,NA,-2.56165052441104,NA,NA,NA,-0.0926684322224134,7,-79.1476950943874,172.962056855442,16.078168804426,3.20529493709311e-06
"6477",-1.01928602810604,NA,NA,1.28791399131678,-0.358541441669472,NA,NA,0.35038545473863,NA,-2.54531017477789,NA,NA,-0.352145302882853,-0.0436776910363507,7,-79.1492036315685,172.965073929804,16.0811858787881,3.20046327579077e-06
