"","(Intercept)","boatlaunch","depth_max_m","dist_waterfowl","latitude","longitude","nearest_LM","nonFP_species_richness","PH_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"3767",-2.4320962636138,NA,-1.98855113993207,1.67646236219387,NA,-1.31332338914089,-1.23927108679491,NA,1.48847072825025,NA,-0.651152846388746,4.09524814989916,0.800964279315734,NA,9,-89.1443610521392,197.373059453676,14.3494032059199,2.08139660161016e-05
"460",0.722478467482181,0.26061931902434,-3.72570112142743,NA,-2.91249475464721,NA,NA,-0.603591011356417,3.40148114318197,0.759090095854881,NA,NA,NA,NA,7,-91.3559158467741,197.378498360215,14.3548421124588,2.07574403025235e-05
"7194",-1.69921907398713,-0.312254700594225,NA,NA,-2.00798960131581,-1.12642675548977,NA,NA,NA,NA,NA,5.1613055754594,0.505977249289834,-0.465599149371876,7,-91.3584713054921,197.383609277651,14.3599530298947,2.0704463239918e-05
"3543",-2.82084232786651,NA,-2.59924095160304,1.61059854080194,NA,-1.52482053971933,NA,-0.92146689105366,1.35368821912859,1.50331557531338,NA,4.30214244577567,0.686606123597904,NA,9,-89.1501436401347,197.384624629667,14.3609683819109,2.06939547483511e-05
"491",0.43290559252287,NA,-3.5793011990036,NA,-3.03647124690031,NA,0.606824895674144,-0.653890752489477,3.48986505104293,0.863784475116501,NA,NA,NA,NA,7,-91.3595978531282,197.385862372923,14.362206125167,2.06811518089815e-05
"3258",-2.95177046096252,-0.333884539510247,NA,NA,-2.3032085676493,-0.768835887856803,0.188397519941645,NA,2.20318638234572,NA,NA,4.98475252301028,0.235687927308949,NA,8,-90.2633338754233,197.388943199948,14.3652869521922,2.06493188075662e-05
"5225",-1.17328371837927,NA,NA,NA,-2.22896483741773,NA,-0.232452832911216,-0.990233980678526,NA,NA,NA,5.06350911416953,NA,-0.336204701234259,6,-92.4469911978579,197.391023815834,14.3673675680779,2.06278483270881e-05
"271",0.988791750492195,NA,-3.69322004177172,2.18905468721841,-2.9388558995212,NA,NA,NA,NA,0.696463057637355,NA,NA,NA,NA,5,-93.5195468891101,197.392034954691,14.3683787069346,2.06174221534009e-05
"3530",-3.03081035108675,-0.265709813276709,NA,NA,-2.32767686613002,NA,NA,-0.946009768941608,2.30615230483836,0.782465468373722,NA,5.05360963569954,0.247627890665825,NA,8,-90.2660780510833,197.394431551268,14.3707753035123,2.0592731128275e-05
"3715",-3.32783533986036,NA,-1.72821746100301,NA,NA,NA,NA,NA,2.28209615993189,NA,-0.933373814026577,4.47484628471399,0.981756141914352,NA,6,-92.4500040067751,197.397049433669,14.3733931859124,2.05657940874269e-05
"1880",-2.11627747941434,0.164516534748936,-1.59855280475943,1.98830212274949,NA,-1.6994772016165,NA,-0.818451998282153,NA,2.30823178056781,-1.60602602987074,4.2827218258892,NA,NA,9,-89.1567418778775,197.397821105153,14.3741648573964,2.05578605996149e-05
"3974",-5.6478072590793,0.203491924277151,NA,1.90330344854668,NA,NA,NA,NA,2.57345030021296,2.34468622267342,-3.15917362236164,4.93195589711366,0.827986992121989,NA,8,-90.2693596245833,197.400994698268,14.3773384505122,2.05252653250523e-05
"1475",-2.67725612168898,NA,-2.30549447843473,NA,NA,NA,NA,-1.01000731995141,2.08182093811506,1.35461828506187,NA,4.393966012499,NA,NA,6,-92.452359876957,197.401761174032,14.3781049262761,2.05174007729355e-05
"1646",-2.2316413729516,0.055698952148516,NA,2.10501140501911,-2.24950773532311,NA,-0.311505365256815,-0.597257368443128,NA,NA,-0.960257544322995,4.88587073757356,NA,NA,8,-90.2709714483764,197.404218345855,14.3805620980985,2.04922088617945e-05
"7342",-4.18901992140572,-0.308298012057238,NA,1.70838906819114,-2.67258821251003,NA,-0.0847620219326649,NA,2.47365165371286,NA,NA,5.23669256808505,0.507366489450811,-0.457568754056455,9,-89.160535252969,197.405407855336,14.3817516075795,2.04800246470994e-05
"3193",-1.18516416631194,NA,NA,NA,-1.96478072975885,-1.09369785500999,0.0124952418875106,-0.965264335500393,NA,NA,NA,4.90452284363216,0.384175684434947,NA,7,-91.3700961107183,197.406858888103,14.383202640347,2.04651714424509e-05
"5756",0.419094040951129,0.119695525976271,-2.93291469099092,NA,-2.46355699990718,-1.33889124603212,-0.0413461937675972,-0.0678911982594187,NA,NA,0.543293666027602,4.30731989515461,NA,-0.263809586125807,10,-88.0370950828128,197.407523498959,14.3838672512027,2.04583718847263e-05
"5239",-0.963766549050216,NA,-2.28478193449718,1.6681056790184,NA,-1.61007993616243,-1.59365998210777,-0.0475399815133314,NA,NA,NA,4.12606962396021,NA,-0.154274004111572,8,-90.2770089417992,197.4162933327,14.392637084944,2.03688600191722e-05
"4017",-3.19429152942069,NA,NA,NA,NA,-1.21648787872472,-0.683972648550662,NA,1.87196227048732,1.90134643757106,-2.32957962480235,4.63115487509442,0.582475160747958,NA,8,-90.2773225156284,197.416920480359,14.3932642326024,2.03624738790545e-05
"5176",-0.981189715869649,0.00199910796355828,-2.30117237436493,1.66533172518362,NA,-1.61502196590008,-1.60766369771929,NA,NA,NA,NA,4.1381312752582,NA,-0.157598621555959,8,-90.2778331806488,197.417941810399,14.3942855626432,2.03520781305147e-05
"7178",-2.3247214230678,-0.361596915643459,NA,NA,-2.27285583074429,NA,NA,NA,NA,NA,NA,5.46252843841908,0.697190621739097,-0.4715955896765,6,-92.4617707772508,197.42058297462,14.3969267268638,2.03252192787905e-05
"1146",-0.98068026840645,-0.192500007411872,NA,NA,-1.96184810167935,-1.12200749354341,-0.0248221959147254,-0.798355720510954,NA,NA,NA,4.8061522976386,NA,NA,7,-91.3782452413794,197.423157149425,14.3995009016693,2.02990757731965e-05
"607",2.06639802032353,NA,-3.41562927463066,2.06304012399386,-2.50793312953024,-1.43521350190229,NA,-0.877474767002786,NA,NA,0.383095904303452,NA,NA,NA,7,-91.3797272693243,197.426121205315,14.4024649575591,2.02690142571509e-05
