"surfacearea_ha","shoreline_development","depth_max_m","TOTP_avg","PH_avg","COND_avg","ALK_avg","secchi_avg","waterbodies_1km","waterbodies_5km","waterbodies_10km","boatlaunch","dist_waterfowl","nearest_LM","nearest_SP","nearest_W","nearest_LMSPW"
18.13,2.461,3.5,0.0155,5.7,227.5,7.88,3.5,1,16,87,0,0.2723,13.7781,13.7781,27.4607,13.7781
15.41,1.669,3,0.0109,6.55,84,14.65,2.5,0,22,86,0,3.4539,23.83,9.3688,23.83,9.3688
0.12,1.255,2,0.024,6.8,123.5,26.5,1.5,1,10,52,0,31.3882,8.1062,12.449,22.6336,8.1062
5.14,1.373,1.5,0.0525,5.25,77.65,4.5,0.9,0,9,49,0,15.8124,9.3116,10.1501,20.5708,9.3116
26.06,1.361,2,0.073,7.2,118.5,131.65,1.1,0,15,50,1,22.9619,3.7896,4.4947,3.9306,3.7896
3.28,1.638,1.3,0.044,6,154,17.63,1.3,0,15,54,0,15.6218,6.1898,6.1898,6.5632,6.1898
0.2,1.592,1.8,0.091,6.6,148.5,22.9,1,1,12,51,0,14.2366,3.6111,4.8983,7.2543,3.6111
0.4,1.118,3,0.0425,6.75,294,45.05,1.8,1,11,47,0,1.3149,5.162,5.162,3.3605,3.3605
6.39,1.188,2,0.043,6.35,144,30.75,0.9,1,15,70,0,2.494,1.0998,12.2203,1.0998,1.0998
51.8,2.396,10.058,0.0078,6.6,69.5,13.375,2.45,2,24,85,1,7.7616,7.7706,7.7706,17.5658,7.7706
24.36,1.967,4.2,0.024,6.45,124,15,1.3,0,17,66,0,3.6935,3.9204,13.3236,12.4916,3.9204
55.2,1.479,12,0.0155,6.75,152.5,46.5,3.2,1,10,42,0,26.064,0.6993,2.14,2.14,0.6993
206.79,1.604,7,0.0615,6,107.5,13.9,0.5,2,12,34,0,4.5664,9.4948,10.0429,10.9739,9.4948
58.27,1.982,14,0.016,7,23.15,2.3,3,2,15,79,1,15.3515,9.3377,1.3617,15.3255,1.3617
1.01,1.234,3,0.009,6.65,79.6,30.4,3,1,10,31,0,4.8178,10.4265,19.971,19.971,10.4265
0.2,1.066,3,0.0295,6.5,113.9,21.4,1,1,10,31,0,19.1945,10.5612,20.1955,20.1955,10.5612
0.4,1.064,2.1,0.1186,6.3,174,30.75,2.1,0,16,75,0,9.5071,5.5102,5.5102,7.8435,5.5102
0.01,1.047,0.8,0.0102,5.9,29,5.3,0.8,0,12,58,0,4.139,9.2026,8.8005,9.2026,8.8005
0.28,1.285,0.5,1.4246,6.6,336,122.25,0.5,1,13,54,0,4.9591,9.7641,22.0152,23.8523,9.7641
0.12,1.058,0.5,0.2035,6.4,184,37.5,0.5,2,13,54,0,7.4348,9.673,21.9165,23.8462,9.673
0.12,1.285,0.5,0.0934,5.7,35,7.875,1,1,12,61,0,14.4341,9.1805,13.8341,7.1213,7.1213
5.67,2.103,2.5,0.02,6.2,106.5,26.3,1.5,3,19,68,0,18.7939,5.8564,8.0043,12.181,5.8564
165.11,2.553,6.096,0.0065,6,52.05,3.75,2.8,2,21,67,1,10.2076,10.4539,9.7492,10.4539,9.7492
39.94,2.353,14,0.0026,7.25,138.5,28.9,3,0,14,46,1,23.0858,6.2254,7.5747,7.5747,6.2254
0.49,1.152,1,0.018,5.95,57.95,22.15,1.1,1,23,75,0,50.4668,5.2179,20.0317,10.5721,5.2179
105.22,2.319,19.202,0.0065,7,47,6.75,2.3,6,35,88,1,27.805,10.1626,4.7357,15.5596,4.7357
0.4,1.507,2,0.1688,6.75,206,26.85,0.6,2,19,79,0,2.2977,3.089,5.0271,6.3178,3.089
38.85,1.479,5,0.2085,7.25,95,28.5,1.5,1,14,58,0,0.828,13.3653,13.3653,13.3653,13.3653
3.56,1.587,5,0.0123,6.85,291,42,2,2,22,71,0,1.7368,0.4214,0.4214,4.8899,0.4214
0.45,1.367,2,0.0995,7.7,116,22.13,0.7,0,14,43,0,4.4181,6.5294,6.5294,14.2168,6.5294
1.58,1.86,3,0.043,5.95,66.35,12.75,1.7,1,13,47,0,22.0881,8.4886,8.4886,8.4639,8.4639
0.97,1.919,2,0.5045,6.15,117.5,34.15,1.5,1,26,75,0,2.3491,2.4348,3.089,3.4212,2.4348
2.95,1.536,3,0.0415,6.4,153,18,2.2,3,19,62,0,3.0918,5.2179,5.2179,10.7403,5.2179
4.17,1.733,3.4,0.028,6.2,102,7.13,3,3,19,58,0,2.5704,1.1705,6.5088,10.4385,1.1705
59.08,1.718,4.877,0.1205,8.05,275.5,75,1,2,24,82,1,6.3439,0.6352,0.6352,6.863,0.6352
8.01,1.975,3,0.0905,6.95,226,86.25,1.1,1,12,28,0,13.0297,9.2713,16.6998,21.8121,9.2713
15.05,1.491,2,0.049,8.7,177.5,39.38,0.8,1,22,63,0,30.0835,4.6492,3.9422,4.6492,3.9422
3.08,1.978,1.3,0.017,9.2,263,165,1.3,0,14,63,0,2.0578,6.8242,6.8242,7.084,6.8242
107.65,2.274,12,0.0065,6.6,119.5,27.4,3.5,1,14,43,1,2.4003,5.9179,14.7863,15.5684,5.9179
60.3,2.435,3.5,0.0227,6.175,65.75,10.6875,2.75,0,29,100,0,7.6113,10.5025,10.5025,27.2099,10.5025
3.68,1.334,2,0.024,6.25,138,13.88,1.4,0,14,55,0,3.1294,1.9761,9.7225,15.8356,1.9761
0.45,1.273,1,0.107,7.55,204.5,71.63,1,1,12,42,0,3.7263,0.929,0.929,0.929,0.929
50.18,1.485,10,0.1485,7.4,147.5,34.5,2,1,14,54,0,1.8512,11.2527,19.2111,20.5919,11.2527
0.85,1.348,0.8,0.232,6.3,181,42.75,0.8,0,29,58,0,25.4194,0.7726,7.1895,0.7726,0.7726
4.86,1.331,3,0.021,6.7,68.45,28.85,2.7,2,7,40,0,8.4572,7.4999,16.1136,16.1136,7.4999
1.17,1.468,2,0.0425,6.35,124.5,45.9,2,0,18,42,0,23.706,4.8983,6.9798,5.162,4.8983
5.42,2.316,2,0.0421,7.1,250.75,46.5,1.5,2,13,49,0,2.3912,4.0868,0.0483,4.0868,0.0483
6.6,1.197,3.5,0.0218,7.5,313.5,62.25,2,2,12,54,0,4.9149,4.0897,0.0483,4.0897,0.0483
75.68,1.746,7,0.1033,6.63,114.58,39.19,2.3,1,12,48,0,8.5468,26.522,19.4176,23.3318,19.4176
