"","(Intercept)","boatlaunch","log(COND_avg)","log(dist_waterfowl + 1)","log(nonFP_species_richness + 1)","log(PH_avg)","log(secchi_avg)","log(shoreline_development)","log(surfacearea_ha)","log(TOTP_avg)","log(waterbodies_10km)","log(waterbodies_1km + 1)","df","logLik","AICc","delta","weight"
"374",-5.5947401128499,-0.401789464414162,NA,0.377750206041075,NA,3.37373983081833,-0.824347985195725,0.492024725414195,NA,0.657989709507547,NA,NA,7,-90.943584345385,196.561867485951,14.5515113487241,3.37401680646622e-05
"1009",-7.88615460424257,NA,NA,NA,NA,3.34231086180237,-0.710489259525097,0.754823824410692,-0.150502761554542,0.664512881612893,0.80968841678629,NA,7,-90.9471155641214,196.568929923423,14.5585737861969,3.36212342652406e-05
"1933",-1.91718938077996,NA,NA,0.425464994911264,-0.424337505117319,NA,NA,NA,-0.059166448431419,0.803425702929776,1.12277603827049,-0.805585333533153,7,-90.9475565716532,196.569811938487,14.5594558012605,3.36064103166783e-05
"2012",-8.81361085104763,-0.172927001678752,0.880365882076558,NA,0.00138991755017378,1.38523739925771,NA,0.894594828595258,-0.166772521288346,0.668912783159709,0.966159534183135,-0.887446052074707,10,-87.6119281317103,196.573549514954,14.5631933777277,3.35436656989665e-05
"2041",-8.63316027960313,NA,NA,NA,-0.0222908137939232,3.49057305144043,-0.756478307291515,0.816649516279245,-0.116172459806637,0.674775802246296,1.0643670201183,-0.796175247428496,9,-88.7476274925793,196.592815960768,14.5824598235419,3.32220835134776e-05
"1921",-2.18195153250079,NA,NA,NA,NA,NA,NA,NA,-0.145044666636931,0.834456333234243,1.22185458445418,-0.719033971699447,5,-93.1278840982758,196.612911053695,14.602554916468,3.28899544211395e-05
"1013",-8.39865315444015,NA,NA,0.337965875825466,NA,3.53783426626207,-0.687157589794759,0.83626625335153,-0.157154187527417,0.68846232640214,0.670022313314169,NA,8,-89.8707600871681,196.614247447063,14.6038913098369,3.28679848034731e-05
"624",-8.03287449023783,-0.154041638281689,1.1819191801376,0.426725686607485,-0.15256234019866,NA,-1.02081532533773,0.215003734780378,NA,NA,0.338233484323301,NA,8,-89.8722278708678,196.617183014463,14.6068268772363,3.2819777099033e-05
"1877",-9.0855500077217,NA,NA,0.424750770288109,NA,3.57925684447635,NA,0.283084423213315,NA,0.899900155854942,1.01170088395392,-0.911891966171188,7,-90.9790603234153,196.632819442011,14.6224633047848,3.25641855024264e-05
"353",1.58549266325922,NA,NA,NA,NA,NA,-0.883291329432508,0.313762032544529,NA,0.651663467358238,NA,NA,4,-94.1993822987235,196.63545098798,14.6250948507531,3.25213666030457e-05
"892",-7.4585909965091,-0.225895447333321,0.868784813827522,NA,0.0565957278298119,0.81899008434478,-0.852310515094236,0.267771587892641,NA,0.535138738491824,0.705063515675782,NA,9,-88.7700144673325,196.637589910275,14.6272337730482,3.24866048564803e-05
"318",-4.84433239640317,-0.259025500166006,NA,0.38655562855226,-0.177617641125721,3.20236682697773,-0.733751182305135,NA,NA,0.61514725490952,NA,NA,7,-90.9831283375809,196.640955470343,14.630599333116,3.24319830176176e-05
"2022",-2.86259461373581,-0.339928805168769,NA,0.409545347886921,NA,NA,-0.776715367877072,0.801067481626791,-0.0621798753817868,0.74827693488757,1.09254398581215,-0.891434977893018,9,-88.7785546109121,196.654670197434,14.6443140602074,3.22103459111751e-05
"460",-3.05133251738733,-0.115228320521939,0.90479576691039,NA,-0.108095673623877,NA,NA,0.955245021784707,-0.159872811676928,0.60375555357855,NA,NA,7,-90.9917559062378,196.658210607656,14.6478544704297,3.21533774300371e-05
"576",-8.55424968564329,-0.141335099773966,1.16354060792694,0.418807684331807,-0.118531351805233,0.308226249633403,-1.03096853603058,NA,NA,NA,0.355966678395059,NA,8,-89.8935395403188,196.659806353365,14.6494502161383,3.2127733354728e-05
"1680",-9.46454464055753,-0.187945655281662,1.35652341984187,0.540115454979091,-0.299241803210101,NA,NA,NA,-0.108430975907336,NA,0.643580886544142,-0.978770089673073,8,-89.895119550872,196.662966374471,14.6526102372447,3.2077011278236e-05
"1232",-7.26215996163656,-0.175435626879809,1.36145855168831,0.576153256297662,-0.353517666512746,NA,NA,0.910347582150441,-0.147885808625103,NA,NA,-0.911205018242728,8,-89.9028455145808,196.678418301889,14.6680621646624,3.18301403391575e-05
"639",-8.42310352384362,NA,1.16353004490881,0.425654212817569,-0.173834562065471,0.296410453474474,-1.03614509163433,0.188020189498829,NA,NA,0.32908792151887,NA,8,-89.9053383298679,196.683403932463,14.6730477952365,3.17508924948873e-05
