"","(Intercept)","boatlaunch","log(COND_avg)","log(dist_waterfowl + 1)","log(nonFP_species_richness + 1)","log(PH_avg)","log(secchi_avg)","log(shoreline_development)","log(surfacearea_ha)","log(TOTP_avg)","log(waterbodies_10km)","log(waterbodies_1km + 1)","df","logLik","AICc","delta","weight"
"547",-3.80070558188053,NA,1.2164076747431,NA,NA,NA,-0.874503625622658,NA,NA,NA,-0.948702859921392,NA,4,-59.0624014966914,126.361489383915,1.45423073723776,0.00648450370613181
"40",-8.57993588332227,1.04426830423579,1.29480452105141,0.213805055083132,NA,NA,-1.1314637807745,NA,NA,NA,NA,NA,5,-58.0932599446997,126.543662746542,1.63640409986465,0.00591995355849943
"1059",-7.11800694472977,NA,1.19661298730597,NA,NA,NA,-0.895332219798265,NA,NA,NA,NA,-0.529685318173815,4,-59.1685143231082,126.573715036749,1.66645639007137,0.00583166446091014
"612",-4.01168298457383,1.20333984694622,1.33371021503162,NA,NA,NA,-1.05064317375438,-0.989272851422181,NA,NA,-0.987906424813882,NA,6,-57.0520063332178,126.607006678412,1.69974803173403,0.00573539508342651
"260",-5.95798737301086,0.765336706523746,1.12755817937651,NA,NA,NA,NA,NA,NA,0.542446980002267,NA,NA,4,-59.1988412951381,126.634368980809,1.72711033413125,0.00565746259476026
"1572",-4.43149468904108,1.1125763694023,1.38446719203413,NA,NA,NA,-1.09980815384486,NA,NA,NA,-0.974301021272554,-0.442162462234744,6,-57.0867141362874,126.676422284551,1.76916363787326,0.00553974701754117
"552",-4.75584704029492,1.13246809535757,1.41844785121223,0.275499669760662,NA,NA,-1.09584728757774,NA,NA,NA,-1.16043973442304,NA,6,-57.0963466417959,126.695687295568,1.78842864889023,0.0054866415538309
"356",-5.9869670046058,1.12683385237179,1.11290069869436,NA,NA,NA,-0.85624879167154,-0.864888378003042,NA,0.312496263514869,NA,NA,6,-57.1753945187633,126.853783049503,1.94652440282515,0.00506963312238875
"52",-6.67302844833304,1.04097057822519,1.32321379757593,NA,NA,-0.841320953189345,-1.11667319953066,NA,NA,NA,NA,NA,5,-58.282887757212,126.922918371567,2.01565972488939,0.00489738207289205
"164",-7.80732469174279,1.13258331463551,1.24272405190337,NA,NA,NA,-1.07503599408519,NA,-0.0485625956373229,NA,NA,NA,5,-58.2888469497109,126.934836756565,2.02757810988714,0.00486828441575875
"1283",-5.4761634675441,NA,1.11318490961312,NA,NA,NA,NA,NA,NA,0.494595263231161,NA,-0.583543963365371,4,-59.362708551981,126.962103494495,2.05484484781704,0.00480236367999619
"44",-8.15111628541706,1.01419436035503,1.27582829360365,NA,0.0654549050460723,NA,-1.16617718084018,NA,NA,NA,NA,NA,5,-58.3239612312481,127.005065319639,2.09780667296151,0.00470030461100799
