"","(Intercept)","log(COND_avg)","log(PH_avg)","log(secchi_avg)","log(shoreline_development)","log(surfacearea_ha)","log(TOTP_avg)","nonFP_species_richness","df","logLik","AICc","delta","weight"
"58",-3.00859739127668,0.726410513496804,NA,NA,-0.0176182894605463,-0.0265859317412715,0.293167869013318,NA,5,-176.397403669285,363.151950195713,7.03339019994422,0.00535165119361349
"100",-3.25966792209065,0.699416462267955,0.217663572502298,NA,NA,NA,0.304049927634482,-0.00430534495393682,5,-176.462547379844,363.282237616831,7.16367762106245,0.00501413757258574
"106",-2.93032671961757,0.718196490470001,NA,NA,-0.0800490250959346,NA,0.298453900993237,-0.00364210867745063,5,-176.466185237812,363.289513332768,7.17095333699859,0.00499592999064276
"44",-3.3726273699101,0.716153161027218,0.238663083029119,NA,-0.114896092255376,NA,0.306222358869314,NA,5,-176.473882490061,363.304907837266,7.1863478414968,0.00495762267694898
"128",-3.7329242994027,0.732799250310186,0.275362318528187,-0.473761471468445,-0.19390240923174,0.0235836248840783,0.217898955188279,0.00895559127997113,8,-173.605875945358,364.084479163443,7.96591916767403,0.00335731203337562
"94",-4.20300272481592,0.828470666587369,NA,-0.60332988757837,-0.326779106482491,0.0195331577445852,NA,0.00578868046628357,6,-175.792521251443,364.088036514862,7.9694765190925,0.00335134577160893
"80",-4.62584743186753,0.812264284484945,0.259790897045794,-0.592024256471141,-0.278128540352133,NA,NA,0.00773243668161234,6,-175.801815297593,364.106624607162,7.98806461139338,0.00332034250540465
"32",-4.28131070437142,0.799765002131445,0.135232286430829,-0.583860173551091,-0.296606070852734,0.025104208522557,NA,NA,6,-175.84817939377,364.199352799516,8.08079280374739,0.00316991205850814
"88",-4.61534785248497,0.81068450488944,0.21222343907474,-0.595252174795635,NA,-0.00190115441379773,NA,0.00467610600290219,6,-176.002274830182,364.507543672339,8.38898367657009,0.00271721758295613
"116",-3.48658499427981,0.698239262321932,0.331679251218829,NA,NA,-0.0295674112448547,0.295116387849503,-0.000441703980903003,6,-176.350373203725,365.203740419426,9.08518042365728,0.00191843554916917
"60",-3.49897364931188,0.699819686982956,0.334714439175775,NA,-0.0122182128698635,-0.0297525507401629,0.295227082546622,NA,6,-176.350407637969,365.203809287915,9.08524929214599,0.00191836949042803
"122",-2.9834090117315,0.722324873808675,NA,NA,-0.0153248596681514,-0.024692013135253,0.292316876776637,-0.00105527142599782,6,-176.395210723505,365.293415458987,9.1748554632178,0.00183431757017518
"108",-3.26933163520213,0.701127272330937,0.228898360879467,NA,-0.0850911678065504,NA,0.30089186375334,-0.00352820124203836,6,-176.443516836947,365.390027685871,9.27146769010147,0.00174781494081841
"96",-4.54227820035771,0.815730659430109,0.212188028054778,-0.605955260611571,-0.326780280758508,0.0169192653994117,NA,0.00645199217485504,7,-175.771136229809,366.216971254799,10.0984112590303,0.00115591775100279
"124",-3.48338355258204,0.698494084784299,0.330925663245661,NA,-0.0113822077629168,-0.0289697992797455,0.294883393716737,-0.000414348691989888,7,-176.350076456366,367.374851707913,11.2562917121437,0.000647882705860027
"18",-4.55778702105073,0.875192458373824,NA,NA,NA,-0.0776254830843795,NA,NA,3,-180.976039117985,368.093254706559,11.9746947107902,0.000452373502318086
"2",-4.94406210293702,0.924893456798697,NA,NA,NA,NA,NA,NA,2,-182.164723142576,368.399621723749,12.28106172798,0.000388123917088865
"66",-4.3127020403602,0.836319859140364,NA,NA,NA,NA,NA,-0.0170232108199771,3,-181.369028605419,368.879233681426,12.7606736856573,0.000305368328898909
"10",-4.65226789624407,0.906020491138926,NA,NA,-0.438234174698626,NA,NA,NA,3,-181.567186682242,369.275549835072,13.1569898393028,0.00025047537365086
"82",-4.32958039043559,0.842249799077728,NA,NA,NA,-0.0607197813374188,NA,-0.00844162104647608,4,-180.835358321037,369.907403032606,13.7888430368369,0.000182624842591079
"26",-4.50144740916692,0.87519551201003,NA,NA,-0.167848198145491,-0.0667733363864468,NA,NA,4,-180.910244076579,370.057174543691,13.9386145479218,0.000169448365586503
"39",-2.73441742735473,NA,1.87832190594421,-0.416951099763947,NA,NA,0.336210796557877,NA,4,-180.939972881524,370.116632153581,13.9980721578115,0.000164485011024025
"20",-4.73942832161206,0.866169475236836,0.120777547047869,NA,NA,-0.0784849461784247,NA,NA,4,-180.969365693385,370.175417777304,14.0568577815345,0.000159720695358887
"4",-4.75215408530686,0.93362556219427,-0.124629264432577,NA,NA,NA,NA,NA,3,-182.157352244179,370.455880958947,14.3373209631781,0.000138822348169068
"74",-4.24208390307395,0.842035922266271,NA,NA,-0.304484990171559,NA,NA,-0.0136015102289867,4,-181.112009369371,370.460705129275,14.3421451335062,0.000138487900363066
"68",-3.97748865130634,0.851126113062088,-0.215558383524094,NA,NA,NA,NA,-0.017190703965914,4,-181.347350007508,370.931386405548,14.8128264097794,0.000109447208809523
"12",-4.5687210503956,0.909826180818877,-0.0545932812923589,NA,-0.436851730588759,NA,NA,NA,4,-181.565792487575,371.368271365683,15.249711369914,8.79703513830631e-05
