"","(Intercept)","COND_avg","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","df","logLik","AICc","delta","weight"
"111",-1.16279066354587,NA,-0.00676035998389049,0.252077880485582,-0.480712108069021,NA,-0.00202190440777285,0.425791154423281,6,-182.825426700795,378.153847413567,17.7029963121498,2.86461176026376e-05
"89",0.789354375932035,NA,NA,NA,-0.529877703730554,-0.199163323854161,NA,0.423206915064886,4,-184.967678634715,378.172043659963,17.7211925585461,2.83866737114215e-05
"95",-0.940883562963169,NA,-0.00627281781494885,0.25190529327016,-0.492976892698664,-0.153118036989231,NA,0.410205289021191,6,-182.855297788329,378.213589588635,17.7627384872174,2.7803080813689e-05
"105",0.497716405549346,NA,NA,NA,-0.520532376691986,NA,-0.00228018869591025,0.44962934585702,4,-185.012963281492,378.262612953517,17.8117618520996,2.71298650579075e-05
"8",-1.14024252612876,0.00395932238259848,-0.0235586161510002,0.0574523520872452,NA,NA,NA,NA,4,-185.014510911648,378.265708213828,17.814857112411,2.7087910534041e-05
"18",-0.715905671957829,0.00460803567424408,NA,NA,NA,-0.258304526691243,NA,NA,3,-186.120336589912,378.381849650412,17.9309985489946,2.55596977495425e-05
"57",0.831825810116353,NA,NA,NA,-0.537495417531511,-0.175316048271108,-0.0016742136977417,NA,4,-185.166410524403,378.569507439339,18.1186563379213,2.32705336460123e-05
"63",-0.884998430295171,NA,-0.00623215986486653,0.249622852810784,-0.500812067096645,-0.129754850585666,-0.00160039396718308,NA,6,-183.048641793337,378.600277598649,18.149426497232,2.29152546380356e-05
"66",-1.1619716850686,0.00454635288510126,NA,NA,NA,NA,NA,0.481990336032174,3,-186.230303447913,378.601783366414,18.1509322649965,2.28980086051062e-05
"98",-1.02574467252088,0.00426122990004126,NA,NA,NA,NA,-0.00397324364657694,0.434667830004188,4,-185.44728779436,379.131261979252,18.680410877835,1.7572068772908e-05
"6",-1.68757347282833,0.00453470908918093,NA,0.0853425156301225,NA,NA,NA,NA,3,-186.579216473433,379.299609417454,18.848758316037,1.61535028483147e-05
"38",-1.68641178554557,0.00413233843484595,NA,0.109985399858816,NA,NA,-0.00456430567640886,NA,4,-185.57689998557,379.390486361673,18.9396352602557,1.54359383332754e-05
"100",-0.780007099068112,0.00391412947823998,-0.0189018407426377,NA,NA,NA,-0.00237826738127235,0.332596078928273,5,-184.573840791081,379.504824439306,19.0539733378885,1.45782313094622e-05
"50",-0.766734071095757,0.00440149367959915,NA,NA,NA,-0.162003935605018,-0.0033048819445765,NA,4,-185.667546136687,379.571778663907,19.1209275624894,1.40982728582234e-05
"107",0.557822423705668,NA,-0.01246405762281,NA,-0.477064276741697,NA,-0.00153516044672501,0.383640679575955,5,-184.626813033204,379.610768923551,19.1599178221341,1.38260869687351e-05
"91",0.728383838436062,NA,-0.0117384445588598,NA,-0.486489412307707,-0.120502300940758,NA,0.375211312765247,5,-184.650957529071,379.659057915285,19.2082068138676,1.34962608346376e-05
"82",-0.768160961671386,0.00445999801234977,NA,NA,NA,-0.231285432888011,NA,0.418718089102384,4,-185.728725006839,379.694136404211,19.2432853027936,1.32616104272835e-05
"40",-1.22766866116272,0.00382408989435384,-0.0193671121460179,0.075694976520206,NA,NA,-0.00272694783665556,NA,5,-184.679185548243,379.71551395363,19.2646628522123,1.31206149380435e-05
"84",-0.628493746141545,0.00401414302299418,-0.0200667011529186,NA,NA,-0.126663417360362,NA,0.319909245704455,5,-184.702647264137,379.762437385416,19.3115862839992,1.28163658568559e-05
"72",-1.26675355134361,0.00382952705407217,-0.02156137837696,0.0719531894668664,NA,NA,NA,0.372522683353037,5,-184.719548120414,379.79623909797,19.3453879965527,1.26015784576141e-05
"52",-0.624937471509983,0.00401949758741503,-0.0194741594828283,NA,NA,-0.0911304645849532,-0.00202802095438355,NA,5,-184.750534946231,379.858212749605,19.4073616481876,1.22170834458856e-05
"24",-0.994756826613973,0.00395478164322048,-0.0206173540881768,0.0678061816960764,NA,-0.152508443570459,NA,NA,5,-184.815599115262,379.988341087666,19.5374899862487,1.14474967961653e-05
"121",0.728705083175423,NA,NA,NA,-0.515996628602751,-0.154055604084727,-0.00162587521378013,0.417461047559591,5,-184.82545775817,380.008058373482,19.5572072720651,1.13351944967731e-05
"22",-1.30686723575188,0.00438950904696808,NA,0.097122208782661,NA,-0.268608285008341,NA,NA,4,-185.891791282164,380.02026895486,19.5694178534432,1.1266200667355e-05
"59",0.77270106584753,NA,-0.0121562030006106,NA,-0.493924986666808,-0.102773663554568,-0.00126559280521898,NA,5,-184.8330919323,380.023326721742,19.5724756203249,1.12489891202908e-05
"127",-1.01824499374087,NA,-0.0047930214026637,0.255193773564456,-0.483924851897499,-0.11694042795743,-0.001626125947484,0.411628629508439,7,-182.727652704255,380.13000420369,19.6791531022729,1.0664703258413e-05
"70",-1.78775876306937,0.00430509302394402,NA,0.100064613692694,NA,NA,NA,0.514244959098573,4,-185.991949424609,380.22058523975,19.7697341383328,1.01924679336687e-05
"102",-1.78043918570802,0.00393771808223879,NA,0.122672228039283,NA,NA,-0.0043301446913736,0.471099546914618,5,-185.090704497322,380.538551851788,20.0877007503703,8.69428317731744e-06
"114",-0.816079566572347,0.00426294318611241,NA,NA,NA,-0.138442886415239,-0.00320647394203541,0.40653506313239,5,-185.300329079769,380.957801016682,20.5069499152646,7.05009520627497e-06
"54",-1.44724331437793,0.00412874849437527,NA,0.110988509612196,NA,-0.164138166980627,-0.00361041480826477,NA,5,-185.369511832718,381.096166522579,20.6453154211616,6.57883954091517e-06
"86",-1.4337475956218,0.00420131759353555,NA,0.108839445799026,NA,-0.240901921702042,NA,0.450380428568169,5,-185.448231466243,381.253605789628,20.8027546882107,6.0808150100257e-06
"104",-1.35419487163599,0.00369533774284005,-0.0173689478123439,0.0901673469121871,NA,NA,-0.00272069685516458,0.371022204674687,6,-184.388127055371,381.279248122718,20.828397021301,6.00334952813424e-06
"116",-0.673701346538551,0.00393413718943488,-0.0180421283051207,NA,NA,-0.0777608447373128,-0.00203461305349639,0.320962267487331,6,-184.528230966589,381.559455945154,21.1086048437369,5.21851906141506e-06
"88",-1.12500811528471,0.00383227731083704,-0.018983090634495,0.0804681667074632,NA,-0.139859491966766,NA,0.351939920463034,6,-184.553214983179,381.609423978334,21.1585728769169,5.08975471769323e-06
"123",0.687821607314044,NA,-0.0108021143891621,NA,-0.479611609499731,-0.0924233863488762,-0.00125509440296717,0.373617602980062,6,-184.565079967364,381.633153946705,21.1823028452874,5.02972170809046e-06
"56",-1.11496882296282,0.00384174351980001,-0.0181732452858911,0.0790613060682299,NA,-0.0995233988331225,-0.00228382616604992,NA,6,-184.604536084689,381.712066181353,21.2612150799362,4.83513252881864e-06
"118",-1.5722818392457,0.00394592938323672,NA,0.122713659269842,NA,-0.138666787040353,-0.00354102266194156,0.4425233116574,6,-184.944410830742,382.391815673461,21.9409645720434,3.44193492957208e-06
"120",-1.25218730351976,0.00371456338404699,-0.0164209152169051,0.0924445464016795,NA,-0.0854645783410131,-0.00233947025997826,0.358697083177439,7,-184.333433783832,383.341566362845,22.8907152614279,2.14075473783464e-06
"71",-1.83468570786023,NA,-0.0353649122156798,0.271162585036549,NA,NA,NA,0.767174273695436,4,-191.295518016533,390.827722423598,30.376871322181,5.06954263613703e-08
"7",-1.63428580234593,NA,-0.0402491956014709,0.258265534916461,NA,NA,NA,NA,3,-192.44570401513,391.032584500849,30.5817333994314,4.57597396719323e-08
"103",-1.92556782661112,NA,-0.0274671443769265,0.285918067267097,NA,NA,-0.00436437327772934,0.744335686415976,5,-190.41825109344,391.193645044023,30.7427939426059,4.22191701343872e-08
"39",-1.7291988304975,NA,-0.0319843802450903,0.273200275721643,NA,NA,-0.00450340111323511,NA,4,-191.496990276974,391.23066694448,30.7798158430632,4.14448420620465e-08
"101",-2.63687914471418,NA,NA,0.353872752656266,NA,NA,-0.00753999050638171,0.943119449517528,4,-192.222411307096,392.681509004725,32.2306579033075,2.00643058113845e-08
"87",-1.71074613206429,NA,-0.0332408131453031,0.276415421770447,NA,-0.112388984527454,NA,0.75313032819447,5,-191.191714082985,392.740571023112,32.2897199216948,1.94804499682975e-08
"3",0.129062433509983,NA,-0.0451818236103453,NA,NA,NA,NA,NA,2,-194.341956314633,392.754088067862,32.3032369664448,1.93492348210313e-08
"67",0.0216761248063397,NA,-0.0405763343973113,NA,NA,NA,NA,0.715355931450085,3,-193.331843186604,392.804862843796,32.3540117423791,1.88641913347308e-08
"23",-1.49380962617918,NA,-0.0375877693090893,0.265101307202547,NA,-0.133540477486047,NA,NA,4,-192.298553327694,392.83379304592,32.382941944503,1.85932829826706e-08
"55",-1.68833992086405,NA,-0.0315759396527118,0.274308880469608,NA,-0.0345514956549895,-0.00436416529593038,NA,5,-191.48818206044,393.333506978024,32.8826558766064,1.44825346927505e-08
"119",-1.90644424330915,NA,-0.0272989854974313,0.286339936676685,NA,-0.0154986937288355,-0.0043017791357002,0.742694170925892,6,-190.416486586422,393.33596718482,32.8851160834026,1.4464730630276e-08
"35",0.137879532132446,NA,-0.0387593211727191,NA,NA,NA,-0.00376924984668954,NA,3,-193.603128149249,393.347432769087,32.89658166767,1.43820445737455e-08
"99",0.0334900651368733,NA,-0.0345739666341764,NA,NA,NA,-0.00359921745140095,0.690503406415815,4,-192.665658244835,393.568002880202,33.1171517787848,1.288025435308e-08
"37",-2.5376190716301,NA,NA,0.352611193394844,NA,NA,-0.00836248032584693,NA,3,-194.015043194919,394.171262860426,33.720411759009,9.52638653386927e-09
"117",-2.47485927409013,NA,NA,0.352995551541604,NA,-0.103257476859207,-0.00696596319286542,0.923921695936372,5,-192.143660000131,394.644462857405,34.1936117559882,7.51924308863989e-09
"19",0.259044252746074,NA,-0.0433565073880715,NA,NA,-0.0931597442803084,NA,NA,3,-194.270664581918,394.682505634424,34.2316545330067,7.37756834138403e-09
"83",0.127178153216772,NA,-0.0391834474574163,NA,NA,-0.074579471205779,NA,0.706582017006806,4,-193.286376298485,394.809438987502,34.3585878860853,6.92388767581546e-09
"51",0.147842009891328,NA,-0.0386675709010313,NA,NA,-0.00715791187729945,-0.00374289233452901,NA,4,-193.602746968505,395.442180327543,34.9913292261257,5.04605497395572e-09
"115",0.0223072309551234,NA,-0.0346698270745358,NA,NA,0.00794332908818223,-0.00362828337851156,0.691237134168089,5,-192.665190511524,395.68752388019,35.2366727787727,4.4635078413048e-09
"53",-2.31060398840532,NA,NA,0.351566415710288,NA,-0.147325513962365,-0.0075135644331932,NA,4,-193.853094960028,395.942876310588,35.4920252091706,3.92850424107155e-09
