"","(Intercept)","COND_avg","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","df","logLik","AICc","delta","weight"
"52",-1.35029570146617,0.00589730772867507,-0.0418260088382794,NA,NA,0.259021824880875,-0.00872646659450919,NA,5,-97.5004204799964,205.357983817136,13.6936084595828,0.00018236782715637
"98",-1.54238710308015,0.00668240619247728,NA,NA,NA,NA,-0.0108746505826266,0.780304328526372,4,-98.6250299581886,205.48674630691,13.8223709493569,0.000170996729568815
"100",-1.03728284216874,0.00591656598881483,-0.0371218897266155,NA,NA,NA,-0.00743405713467623,0.390105042551963,5,-97.6248996364128,205.606942129968,13.9425667724156,0.000161022888497671
"50",-1.66899490531608,0.0068920388455693,NA,NA,NA,0.102361681173352,-0.0118648524748413,NA,4,-98.7250789939637,205.68684437846,14.0224690209071,0.000154716652438654
"102",-3.25398114702556,0.00562690920115877,NA,0.286619719098804,NA,NA,-0.0120448518338692,0.867354009277505,5,-98.152982911989,206.663108681121,14.998733323568,9.49607115934241e-05
"66",-1.91683023156712,0.0074742641454327,NA,NA,NA,NA,NA,1.11786572986214,3,-100.324778365991,206.79073320257,15.1263578450169,8.90903464207821e-05
"72",-2.09221201092199,0.00565340381087226,-0.0465032558929604,0.157064643931556,NA,NA,NA,0.53534794278413,5,-98.2546173585223,206.866377574187,15.2020022166346,8.57836816076557e-05
"54",-3.42152844103938,0.0058640003643812,NA,0.284571738696527,NA,0.141256571791131,-0.0133728946387204,NA,5,-98.2657007221913,206.888544301525,15.2241689439726,8.48381593302138e-05
"18",-1.48532737842668,0.00772822346172576,NA,NA,NA,-0.240872500209913,NA,NA,3,-100.377588939332,206.896354349253,15.2319789917,8.45075103098118e-05
"6",-2.96084947792392,0.00722656538008221,NA,0.175269678709879,NA,NA,NA,NA,3,-100.378789254153,206.898754978894,15.234379621341,8.44061355457287e-05
"56",-2.75090751348469,0.00517094266773718,-0.0392474182165824,0.22467368020834,NA,0.274624713518291,-0.00988161607382393,NA,6,-97.2111573540848,206.925308720146,15.2609333625929,8.32928927474097e-05
"24",-2.0442831423911,0.00579770740389703,-0.0491425263513444,0.146441202017126,NA,0.0407903459827715,NA,NA,5,-98.3113606342545,206.979864125652,15.315488768099,8.10515621272415e-05
"84",-1.19852414279097,0.00614537364667225,-0.0486037892326584,NA,NA,0.0581628503314058,NA,0.471839385912158,5,-98.3945764942209,207.146295845585,15.4819204880319,7.45797976575017e-05
"104",-2.43092994356161,0.00516009731638592,-0.0341716538740274,0.225837229405027,NA,NA,-0.00842554344358634,0.494378716142017,6,-97.3322034885006,207.167400988977,15.5030256314245,7.37969269102844e-05
"116",-1.39247910622168,0.00579272228907239,-0.040534658319298,NA,NA,0.267031728840925,-0.00870742316112936,0.442463843765781,6,-97.4579657541314,207.418925520239,15.7545501626861,6.50759353587189e-05
"114",-1.73177424661325,0.00665309896800687,NA,NA,NA,0.126607595070425,-0.011676137984263,0.825278598276615,5,-98.5863275270279,207.529797911199,15.865422553646,6.15665453995123e-05
"70",-3.09684583082611,0.00680776753783366,NA,0.193347748105112,NA,NA,NA,1.20049042239024,4,-100.101334351378,208.439355093288,16.7749797357356,3.90694189839909e-05
"22",-2.56638173686222,0.00712151173350788,NA,0.179157534780643,NA,-0.246282318916698,NA,NA,4,-100.185948836499,208.608584063531,16.9442087059783,3.58995784354621e-05
"82",-1.56301131698653,0.00743583184566334,NA,NA,NA,-0.20683596343122,NA,0.991907827642807,4,-100.191249567871,208.619185526275,16.954810168722,3.57097878725989e-05
"39",-3.23584033234623,NA,-0.048562242464756,0.503968662650514,NA,NA,-0.0108526164102838,NA,4,-100.207553377678,208.651793145889,16.9874177883366,3.51323026791687e-05
"118",-3.57119115132997,0.00555538209082616,NA,0.297154097492206,NA,0.170320981545137,-0.0132173752069103,0.927689326509644,6,-98.0847586215884,208.672511255153,17.0081358976001,3.47702437681027e-05
"120",-2.86824054739347,0.00500842836390261,-0.0374985677397962,0.234886688057005,NA,0.28552837222075,-0.00991732946313078,0.553279381029698,7,-97.1440659798878,208.962830754956,17.2984553974035,3.0072231576523e-05
"88",-2.1543331509906,0.00564053378409496,-0.0475165729637663,0.155916868039641,NA,0.0505219916459341,NA,0.546844056501782,6,-98.2477039544707,208.998401920917,17.3340265633647,2.95421076621421e-05
"7",-2.85813902988893,NA,-0.0675307981365156,0.444257418767073,NA,NA,NA,NA,3,-101.776198115301,209.69357270119,18.0291973436374,2.08682994306275e-05
"55",-3.77972227617306,NA,-0.0528565552941707,0.505884298362888,NA,0.380580716610721,-0.0127259246664705,NA,5,-99.8752220504247,210.107586957992,18.4432116004395,1.69662165564979e-05
"37",-4.54913601410368,NA,NA,0.637118287156983,NA,NA,-0.0175571533483029,NA,3,-101.986893005763,210.114962482114,18.4505871245614,1.69037644118645e-05
"103",-3.37968508763914,NA,-0.0441847967950957,0.506316239482856,NA,NA,-0.0106664464969755,1.09309804700884,5,-99.9104540238065,210.178050904756,18.5136755472031,1.63788706976066e-05
"35",0.17195749294511,NA,-0.0603725014996143,NA,NA,NA,-0.00892667116240757,NA,3,-102.044764534383,210.230705539355,18.5663301818017,1.59532858077328e-05
"86",-2.74765435187552,0.00675698407679033,NA,0.19499958266339,NA,-0.20964660500566,NA,1.07448007563062,5,-99.9642917291612,210.285726315465,18.6213509579125,1.55203866384088e-05
"3",0.145678029527225,NA,-0.0748460487382306,NA,NA,NA,NA,NA,2,-103.277836856651,210.625849151898,18.9614737943454,1.30931999611135e-05
"101",-4.58719653145343,NA,NA,0.622675691190494,NA,NA,-0.0164087353801578,1.63618562942771,4,-101.333227969931,210.903142330396,19.2387669728427,1.13980970867022e-05
"71",-3.02344654320561,NA,-0.0622863846283162,0.447798088095621,NA,NA,NA,1.21840011621813,4,-101.413862265912,211.064410922356,19.4000355648034,1.05150979383571e-05
"119",-3.95486908525123,NA,-0.048332603231657,0.50832844479111,NA,0.397180442317577,-0.0126206467286105,1.14966883639768,6,-99.5488055281032,211.600605068182,19.9362297106297,8.04229950477367e-06
