"","(Intercept)","COND_avg","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","df","logLik","AICc","delta","weight"
"37",-1.91496839204561,NA,NA,-1.4103030605469,NA,NA,2.12445360928766,3,-78.408279742641,162.95773595587,4.07411276053338,0.0116556128101197
"5",-0.525483428274957,NA,NA,-2.30610037215328,NA,NA,NA,2,-79.4916951100835,163.053565658763,4.16994246342657,0.0111103043644878
"16",-2.3740687650422,2.22213575843222,0.83544064867818,-1.63077388720481,-0.166553064880735,NA,NA,5,-76.4067727690276,163.170688395198,4.28706519986125,0.0104783542631491
"56",-3.44890121744444,2.32095611491571,0.557936352914489,-1.89364563801994,NA,1.15671717320163,1.47560712287149,6,-75.3384866283806,163.179967268737,4.29634407340029,0.0104298531969078
"44",-3.90781455836944,2.05828360974409,0.885058974653668,NA,-0.0459028253851175,NA,1.77481841614375,5,-76.4829216418487,163.32298614084,4.43936294550343,0.00971006287709567
"32",-2.36231606925931,2.64313758686848,0.466711897397103,-2.4234348272175,-1.01021557385651,1.47276898473171,NA,6,-75.4530720205215,163.409138053019,4.52551485768225,0.00930067335862978
"51",-4.03073793301586,NA,2.01298006097975,NA,NA,0.274559682857731,2.76828544618219,4,-77.8221862680791,163.881058926691,4.99743573135379,0.00734578268986557
"49",-3.13790151299215,NA,NA,NA,NA,0.384501613950703,3.05358724353233,3,-78.8948969461016,163.930970362792,5.04734716745466,0.00716473193030549
"3",-2.77882348496988,NA,2.34216603185808,NA,NA,NA,NA,2,-79.9564273883933,163.983030215383,5.09940702004619,0.00698064081948919
"43",-3.804001932926,NA,2.05510078292837,NA,-0.0956701504390886,NA,2.5834749555332,4,-77.8749222462011,163.986530882935,5.10290768759788,0.00696843305503373
"53",-2.18016387683586,NA,NA,-1.94796527361477,NA,0.866564691642727,2.36050986038815,4,-77.9270539966028,164.090794383738,5.20717118840136,0.00661446314021967
"41",-2.8254520368234,NA,NA,NA,-0.067358582464258,NA,2.81475298062885,3,-79.0049918729569,164.151160216502,5.26753702116523,0.00641780218272095
"28",-3.29418016442246,2.8361612927679,0.545683627399914,NA,-0.801824999805762,0.697033616470074,NA,5,-76.9800973203761,164.317337497895,5.43371430255812,0.00590610805676427
"23",-1.71958002754087,NA,2.02099338133547,-2.58754080155634,NA,0.529929174411395,NA,4,-78.0576870583089,164.35206050715,5.46843731181352,0.00580445412042836
"55",-3.04817227633004,NA,1.84361709270288,-1.8420798871439,NA,0.736858116180144,2.13698988905362,5,-77.0088287480464,164.374800353236,5.49117715789885,0.00573883169170092
"21",-0.606674141973835,NA,NA,-2.76173999197606,NA,0.625255993842305,NA,3,-79.2290501053581,164.599276681304,5.71565348596755,0.00512954769946083
"60",-4.21521793452671,2.37660734733248,0.601132044862743,NA,-0.560216687035147,0.900306299895823,1.99411495611425,6,-76.0623032637468,164.62760053947,5.74397734413282,0.00505741538067556
"15",-1.60441709184183,NA,2.09069867350601,-2.11718857037223,-0.286909700669459,NA,NA,4,-78.2048520398912,164.646390470315,5.76276727497807,0.00501012363804109
"48",-3.11643648333083,1.96056858260028,0.900168238567946,-1.2062445968891,0.00242799289162023,NA,1.25295697495889,6,-76.091105173103,164.685204358182,5.8015811628452,0.00491382985575184
"64",-3.11456792147303,2.39810359416492,0.489041358495903,-2.01315159080858,-0.819938489529504,1.48359669464945,1.28643773226024,7,-75.1230041171893,164.920707029559,6.03708383422236,0.00436798722352801
"13",-0.436360400623214,NA,NA,-2.24124601168282,-0.280558563619563,NA,NA,3,-79.4538659125346,165.048908295657,6.16528510032049,0.00409678156119099
"45",-1.91563309302334,NA,NA,-1.41042983180128,0.00132611920867944,NA,2.1248065842988,4,-78.4082789458872,165.053244282307,6.16962108697001,0.00408790938699562
"47",-2.89400524926308,NA,1.9672135263178,-1.35738826717431,-0.0220762093253138,NA,1.94042802451951,5,-77.3508423345623,165.058827526267,6.17520433093057,0.00407651340333761
"1",-1.52885742577476,NA,NA,NA,NA,NA,NA,1,-81.5352365971218,165.093729008197,6.21010581286018,0.00400599233596572
"11",-2.52470646498937,NA,2.34393162233883,NA,-0.613528881294047,NA,NA,3,-79.7720568040398,165.685290078668,6.80166688333105,0.00298026072668866
"19",-2.66044992379034,NA,2.35561238679635,NA,NA,-0.280779614862697,NA,3,-79.8883085201725,165.917793510933,7.03417031559636,0.00265318040371117
"59",-3.92059779665633,NA,2.00550874048304,NA,-0.336090379168895,0.393156888714644,2.72774845250142,5,-77.7833790485597,165.923900954262,7.04027775892544,0.00264509068738994
"57",-3.01838604885381,NA,NA,NA,-0.381268110982939,0.519459665785089,3.00903672126432,4,-78.8436675834099,165.924021557352,7.0403983620154,0.00264493118914393
"61",-1.92762582384416,NA,NA,-2.03927458431011,-0.64667464585906,1.11850984767157,2.24477964313153,5,-77.7860997787858,165.929342414715,7.04571921937765,0.00263790389030728
"31",-1.48494513039302,NA,1.98988576473834,-2.64676627056957,-0.836504954877388,0.883561190499665,NA,5,-77.8227270721335,166.00259700141,7.11897380607292,0.00254303265501655
"29",-0.371672826714147,NA,NA,-2.82435136332291,-0.910526346726787,1.01414057659719,NA,4,-78.9439906816147,166.124667753762,7.24104455842505,0.00239245958378033
"63",-2.80592646726295,NA,1.82205492780503,-1.92741653795812,-0.584711398690458,0.964761108124274,2.029828432594,6,-76.8963022304367,166.295598472849,7.41197527751262,0.00219648112631002
"9",-1.27068579637095,NA,NA,NA,-0.619988977709374,NA,NA,2,-81.3402282175065,166.750631873609,7.86700867827258,0.0017495172476552
"17",-1.41727377601901,NA,NA,NA,NA,-0.249568036502149,NA,2,-81.4808380611545,167.031851560906,8.14822836556866,0.00152002996388891
"27",-2.51919548981423,NA,2.34602353132495,NA,-0.581056767558332,-0.0450115123876646,NA,4,-79.7708143591858,167.778315108904,8.89469191356724,0.00104654919800621
"25",-1.27191467893092,NA,NA,NA,-0.625898109667023,0.00824925413967088,NA,3,-81.3401861358577,168.821548742304,9.93792554696682,0.000621189840206266
