"","(Intercept)","COND_avg","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","df","logLik","AICc","delta","weight"
"11",-0.429452243646151,NA,-0.00656337133022151,NA,-0.83790703335283,NA,NA,NA,3,-62.6723308824842,131.485838235557,6.37271926158215,0.00566495020052428
"4",-2.73997047793318,0.00669971196767456,-0.0190546958621984,NA,NA,NA,NA,NA,3,-62.6839716718336,131.509119814255,6.39600084028089,0.00559938804652519
"73",-0.439879793805669,NA,NA,NA,-0.875385570530575,NA,NA,-0.0866303476721426,3,-62.6905860859815,131.522348642551,6.40922966857676,0.00556247359333651
"34",-3.10130458763954,0.007365158497582,NA,NA,NA,NA,0.00135848656948459,NA,3,-62.8351203992267,131.811417269042,6.69829829506705,0.00481390491293228
"6",-2.68030217438819,0.00739376899826734,NA,-0.0593775250290323,NA,NA,NA,NA,3,-62.8422957030546,131.825767876697,6.71264890272292,0.00477948730863284
"66",-3.04785765567572,0.0072214293001953,NA,NA,NA,NA,NA,0.039813255926864,3,-62.854561275791,131.85029902217,6.73718004819571,0.00472122221723335
"96",-0.694849930104394,0.00686033811149799,0.0334239428825793,-0.0105523872328916,-0.907205310763671,-0.668997000884017,NA,-0.903146642165759,7,-58.6824791271505,132.039657049482,6.92653807550712,0.00429473003043015
"29",-1.52427390624352,NA,NA,0.273555353049899,-0.815407950608927,-0.511341139315036,NA,NA,4,-61.9803003599786,132.19728711049,7.08416813651519,0.00396923613254056
"57",0.491670334296055,NA,NA,NA,-0.859273639764295,-0.662649419026741,0.00461882408006365,NA,4,-62.0825791349981,132.401844660529,7.2887256865543,0.00358333844073869
"112",-1.34765997019698,0.00706153154457888,0.0127629388215253,-0.0605405567871693,-0.917244077164409,NA,0.00494219745368688,-0.788826517712438,7,-58.9112743905212,132.497247576223,7.38412860224861,0.00341642073176873
"50",-2.01085555196175,0.00738645332972172,NA,NA,NA,-0.730269448420332,0.00465403595899315,NA,4,-62.1693980526946,132.575482495922,7.46236352194722,0.00328535914106666
"45",-2.30127609186586,NA,NA,0.278218591484511,-0.900636264256646,NA,0.00239220446780814,NA,4,-62.2627097468644,132.762105884261,7.64898691028694,0.00299266495387132
"27",0.350314649134303,NA,0.00600251234622232,NA,-0.844783537858965,-0.567186291818651,NA,NA,4,-62.3094467144068,132.855579819346,7.74246084537165,0.00285601504356539
"89",0.355932528691184,NA,NA,NA,-0.829978657462179,-0.531553616953963,NA,-0.233455781035594,4,-62.3115031235603,132.859692637653,7.74657366367859,0.00285014794273486
"20",-2.01494604148768,0.00675223094392209,-0.00979672569053211,NA,NA,-0.523214393412098,NA,NA,4,-62.330801947571,132.898290285675,7.78517131170014,0.00279567080235502
"77",-2.27322625088242,NA,NA,0.277291918796708,-0.87406135975441,NA,NA,-0.106305955594148,4,-62.3317208555826,132.900128101698,7.78700912772325,0.00279310301801655
"15",-2.27430480838166,NA,-0.000881262588558533,0.275396276003612,-0.863852395454889,NA,NA,NA,4,-62.333761435888,132.904209262309,7.79109028833412,0.00278740927824927
"82",-2.05932615295257,0.00705007219050511,NA,NA,NA,-0.588867620371188,NA,-0.155625144725542,4,-62.365957248201,132.968600886935,7.8554819129601,0.00269909566501953
"22",-1.83760650917986,0.00710338707878669,NA,-0.0394668716532459,NA,-0.576745706154304,NA,NA,4,-62.3660683149234,132.968823020379,7.85570404640475,0.00269879590195793
"128",-0.37334320591052,0.00732911623051254,0.029172862863598,-0.0336533834107227,-0.942884937911307,-0.860215795038386,0.00746155544726177,-0.939715534978773,8,-58.1293653340803,133.131457940888,8.01833896691329,0.00248802258161479
"43",-0.4231201217835,NA,-0.0104660993638254,NA,-0.855159291430442,NA,0.00285546712787021,NA,4,-62.5746068260057,133.385900042544,8.27278106856937,0.00219080093392073
"36",-2.78413834629019,0.00684828658131789,-0.0231498527830516,NA,NA,NA,0.00278094494225844,NA,4,-62.6044783096843,133.445643009901,8.33252403592655,0.00212632623128371
"105",-0.450886871188492,NA,NA,NA,-0.904160218524148,NA,0.00232342297065993,-0.0538171797521349,4,-62.6215312602646,133.479748911062,8.36662993708728,0.00209037351633875
"8",-2.23793673820412,0.00689678797771733,-0.0196957984013845,-0.0796988082205468,NA,NA,NA,NA,4,-62.6611554922787,133.55899737509,8.44587840111546,0.00200916363592403
"75",-0.406453241552807,NA,-0.00702437264143798,NA,-0.842821644239079,NA,NA,-0.137182404035188,4,-62.6684084361273,133.573503262787,8.46038428881272,0.00199464400357964
"68",-2.73033495128278,0.00672717980417045,-0.0195436767284562,NA,NA,NA,NA,-0.116545391582322,4,-62.6808535792367,133.598393549006,8.48527457503138,0.00196997420151884
"61",-1.35771095766202,NA,NA,0.277986826923622,-0.857564332937388,-0.659316269823386,0.00475360605453757,NA,5,-61.7331326543755,133.823408165894,8.71028919191934,0.00176035085487683
"38",-2.68102685784523,0.00756222506273864,NA,-0.0688954684100411,NA,NA,0.00149509158384236,NA,4,-62.8183888073683,133.873464005269,8.76034503129455,0.00171683970311159
"98",-3.10323621829481,0.00734553200216256,NA,NA,NA,NA,0.00138113108102905,0.0626691980348433,4,-62.8341908645293,133.905068119591,8.79194914561668,0.00168992333110489
"70",-2.68332636259038,0.0073861066785398,NA,-0.0589356804643712,NA,NA,NA,0.0184741329505213,4,-62.8422149799302,133.921116350393,8.80799737641837,0.00167641745011755
"31",-1.59100715956562,NA,0.0127281121382278,0.297669276499553,-0.871243569962595,-0.605625298335707,NA,NA,5,-61.92225212751,134.201647112163,9.08852813818842,0.00145702059949842
"93",-1.47032950347521,NA,NA,0.273618386183806,-0.82756519474978,-0.521964701609818,NA,-0.249362874598844,5,-61.967438864429,134.292020586001,9.17890161202629,0.00139264794103097
