Group,Species,Frequency,Label,FP?,group
Terrestrial plant,Myosotis laxa,6,,notFP,terrestrial
Terrestrial plant,Myosotis scorpioides,1,,notFP,terrestrial
Terrestrial plant,Omalotheca sylvatica,3,,notFP,terrestrial
Terrestrial plant,Origanum vulgare,1,,notFP,terrestrial
Terrestrial plant,Oxalis acetosella,4,,notFP,terrestrial
Terrestrial plant,Paris quadrifolia,3,,notFP,terrestrial
Terrestrial plant,Persicaria hydropiper,5,,notFP,terrestrial
Terrestrial plant,Persicaria maculosa,2,,notFP,terrestrial
Terrestrial plant,Peucedanum palustre,1,,notFP,terrestrial
Terrestrial plant,Phalaris arundinacea,5,,notFP,terrestrial
Terrestrial plant,Phegopteris connectilis,3,,notFP,terrestrial
Terrestrial plant,Phleum pratense,38,,notFP,terrestrial
Terrestrial plant,Picea abies,20,,notFP,terrestrial
Terrestrial plant,Pinus sylvestris,9,,notFP,terrestrial
Terrestrial plant,Plantago major,16,,notFP,terrestrial
Terrestrial plant,Poa annua,8,,notFP,terrestrial
Terrestrial plant,Poa nemoralis,1,,notFP,terrestrial
Terrestrial plant,Poa palustris,11,,notFP,terrestrial
Terrestrial plant,Poa pratensis,17,,notFP,terrestrial
Terrestrial plant,Poa trivialis,46,,notFP,terrestrial
Terrestrial plant,Polygala amarella,1,,notFP,terrestrial
Terrestrial plant,Polygonum aviculare,7,,notFP,terrestrial
Terrestrial plant,Populus tremula,14,,notFP,terrestrial
Terrestrial plant,Potentilla anserina,5,,notFP,terrestrial
Terrestrial plant,Potentilla erecta,16,,notFP,terrestrial
Terrestrial plant,Potentilla palustris,8,,notFP,terrestrial
Terrestrial plant,Prunella vulgaris,7,,notFP,terrestrial
Terrestrial plant,Prunus avium,1,,notFP,terrestrial
Terrestrial plant,Prunus cerasus,1,,notFP,terrestrial
Terrestrial plant,Prunus padus,5,,notFP,terrestrial
Terrestrial plant,Pteridium aquilinum,4,,notFP,terrestrial
Terrestrial plant,Quercus robur,6,,notFP,terrestrial
Terrestrial plant,Ranunculus acris,35,,notFP,terrestrial
Terrestrial plant,Ranunculus flammula,3,,notFP,terrestrial
Terrestrial plant,Ranunculus repens,55,,notFP,terrestrial
Terrestrial plant,Ranunculus sceleratus,9,,notFP,terrestrial
Terrestrial plant,Ribes nigrum,2,,notFP,terrestrial
