"","(Intercept)","boatlaunch","log(COND_avg)","log(dist_waterfowl + 1)","log(nonFP_species_richness + 1)","log(PH_avg)","log(secchi_avg)","log(shoreline_development)","log(surfacearea_ha)","log(TOTP_avg)","log(waterbodies_10km)","log(waterbodies_1km + 1)","df","logLik","AICc","delta","weight"
"1944",-4.64267344807274,0.17510911200475,0.8080500675419,0.255567112088467,NA,0.41788788452711,NA,NA,-0.0306348988875213,0.298648541415853,0.0450440553240574,-0.492694489753207,9,-171.229681102081,361.556923179773,10.129590252239,0.000311656226118678
"443",-4.02638080257958,NA,0.733851719032351,NA,0.156212039868391,0.303886706217145,-0.485385214049975,NA,0.000950626751534825,0.238924100746366,NA,NA,7,-173.442066844719,361.558832484619,10.1314995570849,0.000311358844717814
"164",-4.23045003993495,0.257500806654593,0.818218052912371,NA,NA,NA,-0.58988205442534,NA,-0.0154362208555433,NA,NA,NA,5,-175.601881278054,361.56090541325,10.1335724857162,0.000311036299568043
"1147",-5.04243025081224,NA,0.841684922401874,NA,0.130268269088012,0.429624042920009,-0.617931978141899,-0.234147187354687,NA,NA,NA,-0.416284438639364,7,-173.447473542472,361.569645880124,10.1423129525904,0.000309679964241239
"52",-4.59836640654194,0.23368536785507,0.807478880795795,NA,NA,0.215284510173235,-0.6129573684542,NA,NA,NA,NA,NA,5,-175.610077004959,361.577296867061,10.1499639395271,0.000308497548664273
"175",-4.88660100078161,NA,0.855928780237807,0.198714369331983,0.0269148125608428,NA,-0.574705297975169,NA,-0.00359534665549154,NA,NA,NA,6,-174.540829451618,361.584652915211,10.1573199876778,0.000307364971353194
"63",-4.94348651873714,NA,0.852993868485653,0.198241707822049,0.022955877613479,0.0404290129222379,-0.578320120552571,NA,NA,NA,NA,NA,6,-174.541666857292,361.58632772656,10.1589947990268,0.000307107689921539
"1279",-5.40443227913609,NA,0.910669620599735,0.247693555123927,0.0778207153491291,0.214760302980206,-0.61245286027769,-0.206902062017863,0.0214925489452557,NA,NA,-0.49495412996719,9,-171.247967689615,361.59349635484,10.1661634273066,0.000306008889884725
"548",-4.07835344223714,0.23353945210655,0.825630754410096,NA,NA,NA,-0.606861793715616,NA,NA,NA,-0.0514578985532317,NA,5,-175.620564205688,361.59827126852,10.170938340986,0.00030527917829163
"183",-4.85145641348525,NA,0.846820415339922,0.200298803700254,NA,0.0304518212411731,-0.564903547294802,NA,0.000290368068047279,NA,NA,NA,6,-174.551912944417,361.606819900811,10.1794869732773,0.000303977103293413
"1259",-4.29208358527113,NA,0.865751737929019,NA,0.0948048563342543,NA,-0.628184496942714,-0.288563188974183,0.0271190867233232,NA,NA,-0.413113392743539,7,-173.467045357089,361.608789509359,10.1814565818254,0.000303677892698993
"44",-4.29143439116448,0.226288120352129,0.824357788584499,NA,0.00762293669565581,NA,-0.613045246667966,NA,NA,NA,NA,NA,5,-175.632793256407,361.622729369957,10.1953964424231,0.000301568638171038
"1700",-4.30290611541873,0.197382626294202,0.840784652603649,NA,NA,NA,-0.602424923470149,NA,0.00678989839597137,NA,0.0496631267896424,-0.400290152793763,7,-173.474879275783,361.624457346747,10.1971244192134,0.000301308198891778
