"","(Intercept)","COND_avg","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","df","logLik","AICc","delta","weight"
"17",-0.894592094853277,NA,NA,NA,NA,-0.388928583062651,NA,NA,2,-81.2166278803559,166.503431199308,6.77439742579182,0.00296200907809404
"33",-1.41989008669799,NA,NA,NA,NA,NA,-0.00445581568967201,NA,2,-81.2227420117166,166.51565946203,6.78662568851311,0.00294395421664123
"65",-1.59934917193112,NA,NA,NA,NA,NA,NA,1.02870191110071,2,-81.2548585583436,166.579892555284,6.85085878176719,0.0028509067532279
"102",-3.59860254318809,0.00439652788085509,NA,0.213672368646009,NA,NA,-0.00121902065537256,0.256586898376298,5,-78.1412461175015,166.639635092146,6.91060131862935,0.00276700590331827
"72",-3.51725990525598,0.00443778130426707,-0.00346147408688165,0.202429633774081,NA,NA,NA,0.245531096078106,5,-78.1535869663642,166.664316789871,6.93528301635467,0.00273306854030802
"40",-3.50148150464946,0.00444085047724854,-0.00253418442919894,0.204881748586657,NA,NA,-0.00109184066249318,NA,5,-78.1541187667156,166.665380390574,6.93634661705752,0.00273161547990108
"114",-1.87687806767168,0.00511346442085105,NA,NA,NA,-0.278165879490461,0.000585580501959503,0.102411387860738,5,-78.2136855476979,166.784513952539,7.05548017902217,0.00257365329243664
"52",-1.85807864274164,0.00511553766548205,-0.00124629139472294,NA,NA,-0.276900769478263,0.000633043501416311,NA,5,-78.2154417915866,166.788026440316,7.0589926667995,0.00256913729632631
"84",-1.88295697145476,0.00505607666960152,-0.000372487835772578,NA,NA,-0.257266110441645,NA,0.0965569988091852,5,-78.2177372864191,166.792617429981,7.06358365646454,0.0025632466185354
"64",-2.36276013575644,0.00427560415287452,0.0234067000812485,0.207861824078394,-0.481535446859214,-0.419598645908779,0.00229541968797876,NA,7,-76.1668559293412,167.008410653863,7.27937688034666,0.00230107879302646
"100",-2.23582644343407,0.00497920283925966,-0.00428825324124871,NA,NA,NA,-0.000459668040366367,0.150703891093467,5,-78.3399348599486,167.03701257704,7.3079788035235,0.00226840534134006
